dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2,capped_base_stock,basestock,constant
geom_p0p05_L6_c1_2_test,1207.151086,1205.368807,1206.005643,1203.24,1431.8,1204.11
geom_p0p03_L6_c1_2_train,1992.43228,1992.783221,1988.777154,2003.68,2409.15,2002.81
geom_p0p03_L6_c1_2_test,2028.170085,2028.344756,2025.148683,2042.78,2425.07,2030.93
gamma_k5_th80_L6_c1_2_train,12154.09124,12193.68495,12075.26054,12100.51,20556.54,12183.7
gamma_k5_th80_L6_c1_2_test,12538.69586,12507.15877,12452.16176,12441.71,20859.43,12507.42
gamma_k5_th5_L6_c1_2_train,760.8568913,761.9274809,758.4985739,759.7,1214.05,760.26
gamma_k5_th5_L6_c1_2_test,778.5294342,786.1112499,775.704686,774.95,1218.19,778.04
gamma_k5_th40_L6_c1_2_train,6422.164741,6392.039789,6377.274535,6379.33,9982.15,6391.15
gamma_k5_th40_L6_c1_2_test,6298.084426,6297.991994,6269.991439,6276.07,9836.98,6297.62
gamma_k5_th20_L6_c1_2_train,3068.359283,3095.542185,3068.097194,3086.36,4914.25,3100.91
gamma_k5_th20_L6_c1_2_test,3128.127128,3160.12329,3121.0497,3122.72,4914.87,3133.21
gamma_k5_th2_L6_c1_2_train,312.0905476,311.9732626,312.3198731,339.96,488,315.32
gamma_k5_th2_L6_c1_2_test,313.5210122,313.7692287,313.2774662,340.24,488.45,312.57
gamma_k5_th10_L6_c1_2_train,1574.802696,1566.073218,1554.431804,1566.04,2441.27,1575.5
gamma_k5_th10_L6_c1_2_test,1562.747706,1558.931696,1570.259699,1558.07,2459.05,1562.45
gamma_k20_th80_L6_c1_2_train,25829.81163,25909.72839,25585.45671,25553.26,61807.65,25888.74
gamma_k20_th80_L6_c1_2_test,26274.37752,26314.80794,26048.55324,26050,62976.6,26230.07
gamma_k20_th5_L6_c1_2_train,1600.123166,1614.644509,1605.049312,1600.74,3589.7,1614.37
gamma_k20_th5_L6_c1_2_test,1625.616483,1637.259968,1630.194192,1625.9,3570.18,1637.35
gamma_k20_th40_L6_c1_2_train,12952.43378,13082.08272,12894.90629,12892.4,29746.92,12975.82
gamma_k20_th40_L6_c1_2_test,13011.95377,13160.16068,12975.46626,12986.24,29847.07,13058.84
gamma_k20_th20_L6_c1_2_train,6574.925924,6549.860998,6540.529636,6532.13,14332.08,6548.42
gamma_k20_th20_L6_c1_2_test,6534.901828,6489.790953,6482.092488,6477.15,14285.45,6520.73
gamma_k20_th2_L6_c1_2_train,641.6798688,643.6116243,641.9619533,664.56,1426.5,640.85
gamma_k20_th2_L6_c1_2_test,651.5559904,652.3353735,648.4871146,667.95,1426.86,651.36
gamma_k20_th10_L6_c1_2_train,3263.985603,3282.668541,3242.799749,3243.25,7127.89,3282.96
gamma_k20_th10_L6_c1_2_test,3281.609253,3272.178747,3253.838346,3257.55,7144.17,3267.33
gamma_k2_th80_L6_c1_2_train,7517.417529,7522.019376,7512.682435,7526.24,10110.6,7551.74
gamma_k2_th80_L6_c1_2_test,7461.75815,7460.411607,7458.791627,7456.39,10094.91,7475.69
gamma_k2_th5_L6_c1_2_train,459.8066965,459.6362401,459.5068079,505.78,630.64,460.85
gamma_k2_th5_L6_c1_2_test,471.8951287,473.3512279,473.4876735,512.15,624.07,474.06
gamma_k2_th40_L6_c1_2_train,3727.758762,3726.715676,3734.232948,3726.3,4922.54,3748.71
gamma_k2_th40_L6_c1_2_test,3759.447518,3764.539327,3771.793338,3758,4979.23,3771.18
gamma_k2_th20_L6_c1_2_train,1823.788478,1824.435228,1820.684627,1847.04,2444.69,1825.28
gamma_k2_th20_L6_c1_2_test,1884.282687,1886.045821,1881.785357,1899.61,2500.53,1885.32
gamma_k2_th2_L6_c1_2_train,193.0951797,192.9843515,193.0158696,225.34,255.6,201.44
gamma_k2_th2_L6_c1_2_test,188.9915385,188.608772,188.7008196,218.22,248.39,194.76
gamma_k2_th10_L6_c1_2_train,950.4422651,956.1297305,949.7744294,962.76,1247.61,957.87
gamma_k2_th10_L6_c1_2_test,937.7109652,939.444785,937.8213992,948.16,1246.81,940.79
gamma_k10_th80_L6_c1_2_train,18499.96285,18522.13232,18452.98726,18493.57,36385.89,18530.2
gamma_k10_th80_L6_c1_2_test,18341.41851,18251.11175,18322.87069,18192.2,36142.91,18333.72
gamma_k10_th5_L6_c1_2_train,1165.474929,1158.559868,1161.00331,1183.43,2078.87,1171.33
gamma_k10_th5_L6_c1_2_test,1135.373126,1124.381695,1130.000601,1139.54,2062.87,1124.73
gamma_k10_th40_L6_c1_2_train,8977.485715,8979.083339,8958.091215,8955.36,16808.63,9000.58
gamma_k10_th40_L6_c1_2_test,9102.439108,9076.968881,9055.625929,9068.51,16896.69,9131.66
gamma_k10_th20_L6_c1_2_train,4451.903745,4454.106443,4450.019715,4464.15,8180.78,4452.31
gamma_k10_th20_L6_c1_2_test,4475.299073,4466.062545,4463.035922,4460.47,8212.67,4487.85
gamma_k10_th2_L6_c1_2_train,461.3210861,461.0499688,463.7265206,506.47,835.74,463.11
gamma_k10_th2_L6_c1_2_test,455.5629705,453.6589348,459.4313865,490.67,830.3,455.87
gamma_k10_th10_L6_c1_2_train,2213.680489,2235.952506,2209.979144,2223.18,4073.22,2236.73
gamma_k10_th10_L6_c1_2_test,2274.777588,2279.076371,2278.948619,2276.73,4148.36,2278.8
gamma_k1_th80_L6_c1_2_train,4932.903973,4931.685819,4915.533216,4930.5,5933.11,4933.67
gamma_k1_th80_L6_c1_2_test,4946.978867,4945.492476,4939.237798,4944.06,5941.87,4951.3
gamma_k1_th5_L6_c1_2_train,308.1600442,308.3262054,307.6456149,334.52,372.35,312.74
gamma_k1_th5_L6_c1_2_test,310.9106426,310.9605268,310.7039614,338.22,374.9,312.25
gamma_k1_th40_L6_c1_2_train,2525.142479,2524.275801,2524.39061,2534.21,3045.9,2525.03
gamma_k1_th40_L6_c1_2_test,2476.657265,2475.167765,2472.300635,2484.16,2967.98,2476.72
gamma_k1_th20_L6_c1_2_train,1244.854136,1247.1956,1240.494887,1264.94,1491.26,1251.19
gamma_k1_th20_L6_c1_2_test,1234.313969,1234.360494,1232.308987,1251.21,1480.26,1234.41
gamma_k1_th2_L6_c1_2_train,125.4745435,125.4530651,125.0839959,147.81,149.9,125.78
gamma_k1_th2_L6_c1_2_test,127.1451889,127.5425026,127.1403418,149.61,151.19,126.67
gamma_k1_th10_L6_c1_2_train,638.521534,639.722093,638.9726278,650.13,764.06,651.22
gamma_k1_th10_L6_c1_2_test,620.6148467,619.8839974,619.6525185,628.68,744.14,624.24
gamma_k0p8_th80_L6_c1_2_train,4266.911966,4265.457638,4272.209388,4271.37,4983.34,4268.73
gamma_k0p8_th80_L6_c1_2_test,4263.702482,4262.19131,4266.339285,4263.51,4988.2,4263.65
gamma_k0p8_th5_L6_c1_2_train,269.8929765,270.212908,269.6723012,300.55,313.76,271.18
gamma_k0p8_th5_L6_c1_2_test,268.0142417,268.7608134,267.8460432,297.72,312.83,267.93
gamma_k0p8_th40_L6_c1_2_train,2181.486977,2181.498018,2182.65949,2206.94,2552.03,2181.35
gamma_k0p8_th40_L6_c1_2_test,2153.880384,2152.746018,2151.710308,2168.04,2512.98,2153.05
gamma_k0p8_th20_L6_c1_2_train,1048.845739,1049.580231,1048.935742,1068.6,1231.02,1051.66
gamma_k0p8_th20_L6_c1_2_test,1075.163648,1076.641993,1075.239197,1090.62,1256.34,1077.3
gamma_k0p8_th2_L6_c1_2_train,114.1597724,114.1612681,113.5891524,129.79,129.52,123.46
gamma_k0p8_th2_L6_c1_2_test,112.1714842,112.1523877,111.9250413,129.31,128.71,118.08
gamma_k0p8_th10_L6_c1_2_train,563.7026949,563.5537278,563.7056405,568.9,664.8,566.62
gamma_k0p8_th10_L6_c1_2_test,539.8900694,538.0954439,539.6573982,545.49,629.72,538.88
dunif_L50_H800_L6_c1_2_train,16880.1621,16931.19989,16826.95859,16869.29,26344.65,17001.01
dunif_L50_H800_L6_c1_2_test,16629.96237,16709.97954,16676.0303,16620.02,26013.44,16704.07
dunif_L50_H400_L6_c1_2_train,7846.333208,7891.306811,7832.92238,7840.05,11855.82,7862.29
dunif_L50_H400_L6_c1_2_test,7811.716565,7903.519842,7788.87336,7801.12,11857.4,7874.03
dunif_L50_H200_L6_c1_2_train,3338.800132,3345.321955,3345.78082,3338.98,5649.48,3354.25
dunif_L50_H200_L6_c1_2_test,3355.049722,3370.959947,3363.885062,3360.06,5655.46,3368.59
dunif_L50_H100_L6_c1_2_train,1140.119692,1141.753539,1142.739762,1151.5,2577.24,1157.35
dunif_L50_H100_L6_c1_2_test,1133.08458,1133.397024,1136.534145,1142.53,2603.2,1141.3
dunif_L5_H800_L6_c1_2_train,17652.48015,17624.57511,17627.85738,17624.74,26920.39,17776.06
dunif_L5_H800_L6_c1_2_test,17712.07877,17693.2313,17678.58184,17686.73,26751.79,17870.25
dunif_L5_H50_L6_c1_2_train,1024.151367,1023.913663,1024.124744,1049.94,1500.32,1029.29
dunif_L5_H50_L6_c1_2_test,1019.638061,1017.718575,1018.024287,1042.75,1493.23,1023.79
dunif_L5_H400_L6_c1_2_train,8775.205196,8798.911409,8766.734423,8773.82,12605.17,8836.68
dunif_L5_H400_L6_c1_2_test,8800.943587,8811.532745,8784.376385,8792.1,12496.48,8839.55
dunif_L5_H200_L6_c1_2_train,4373.248477,4377.149779,4365.05902,4374.69,6185.75,4412.04
dunif_L5_H200_L6_c1_2_test,4342.942269,4344.893375,4333.309653,4347.82,6074.56,4353.36
dunif_L5_H20_L6_c1_2_train,357.288894,357.1321986,354.6499163,360.42,575.41,361.42
dunif_L5_H20_L6_c1_2_test,359.1636743,358.2020274,356.5870099,359.54,580.15,359.87
dunif_L5_H100_L6_c1_2_train,2103.788358,2110.207744,2105.222868,2114.65,3013.59,2163.35
dunif_L5_H100_L6_c1_2_test,2137.957044,2137.927573,2142.301874,2136.72,3019.37,2149.72
dunif_L20_H800_L6_c1_2_train,17162.89058,17175.59941,17136.56438,17150.58,26826.54,17206.98
dunif_L20_H800_L6_c1_2_test,17312.27607,17335.52496,17291.10111,17280.35,26587.74,17400.58
dunif_L20_H50_L6_c1_2_train,691.1610682,694.8402612,722.286537,703.17,1359.17,696.69
dunif_L20_H50_L6_c1_2_test,681.5305657,688.271648,723.3256834,700.73,1352.47,686.26
dunif_L20_H400_L6_c1_2_train,8287.547386,8355.725433,8276.942166,8285.25,12194.59,8355.92
dunif_L20_H400_L6_c1_2_test,8461.53932,8473.885805,8436.507958,8441.25,12239.2,8469.18
dunif_L20_H200_L6_c1_2_train,4049.059873,4051.071283,4048.350408,4050.78,6008.83,4133.68
dunif_L20_H200_L6_c1_2_test,3982.720441,3982.401191,3973.407797,3987.41,5898.89,3994.29
dunif_L20_H100_L6_c1_2_train,1768.560974,1772.160902,1772.733982,1768.48,2890.12,1778.04
dunif_L20_H100_L6_c1_2_test,1800.476218,1799.580529,1797.761956,1798.66,2874.61,1808.99
dunif_L10_H800_L6_c1_2_train,17570.71154,17559.3364,17529.86496,17558.1,26796.19,17581.04
dunif_L10_H800_L6_c1_2_test,17471.14908,17471.97649,17433.15465,17446.6,26649.25,17498.31
dunif_L10_H50_L6_c1_2_train,928.0914652,933.9528128,940.5273381,928.46,1458.29,943.98
dunif_L10_H50_L6_c1_2_test,904.2630426,904.4749519,918.2583031,902.62,1438.11,912.61
dunif_L10_H400_L6_c1_2_train,8580.963626,8636.043519,8556.149155,8574.63,12245,8653.29
dunif_L10_H400_L6_c1_2_test,8629.863485,8674.976904,8620.200573,8652.33,12332.65,8673.54
dunif_L10_H200_L6_c1_2_train,4370.514363,4374.480121,4363.477399,4378.14,6111.62,4389.15
dunif_L10_H200_L6_c1_2_test,4239.303652,4226.886358,4235.88191,4224.52,6029.02,4235.93
dunif_L10_H20_L6_c1_2_train,235.5889542,239.4669529,236.1389756,252.24,527.94,252.02
dunif_L10_H20_L6_c1_2_test,243.4963979,245.4307096,245.3489588,261.12,533.85,257.26
dunif_L10_H100_L6_c1_2_train,1975.438344,1980.382658,1974.976252,1983.2,2988.12,1987.77
dunif_L10_H100_L6_c1_2_test,2021.028874,2022.071073,2017.630408,2026.31,2975.5,2029.55
dunif_L0_H800_L6_c1_2_train,18156.53392,18165.3325,18033.71983,18155.06,27230.28,18241.01
dunif_L0_H800_L6_c1_2_test,17754.18186,17754.46668,17737.06843,17733.79,26619.27,17876.64
dunif_L0_H50_L6_c1_2_train,1110.0982,1107.431163,1107.249564,1121.39,1523.12,1110.1
dunif_L0_H50_L6_c1_2_test,1147.707063,1148.733477,1146.586662,1140.84,1546.26,1145.46
dunif_L0_H400_L6_c1_2_train,8542.519009,8587.489814,8535.375417,8541.76,12058.57,8678.12
dunif_L0_H400_L6_c1_2_test,8932.140407,8913.122882,8933.909468,8909.26,12519.31,8977.25
dunif_L0_H200_L6_c1_2_train,4411.64192,4410.03844,4407.781334,4416.6,6083.47,4410.03
dunif_L0_H200_L6_c1_2_test,4490.079573,4512.591092,4470.565129,4457.82,6113.85,4509.87
dunif_L0_H20_L6_c1_2_train,467.3183221,467.5925498,464.2418318,493.56,624.26,467.8
dunif_L0_H20_L6_c1_2_test,463.0299211,463.5306286,460.7931839,495.96,627.77,466.22
dunif_L0_H100_L6_c1_2_train,2279.434589,2282.514424,2271.353207,2291.11,3078.92,2288.17
dunif_L0_H100_L6_c1_2_test,2227.192212,2223.759463,2223.052885,2237.58,3052.64,2236.98
cunif_a50_b800_L6_c1_2_train,16457.30036,16528.83605,16424.50269,16448.45,25843.52,16591.23
cunif_a50_b800_L6_c1_2_test,16542.60787,16591.55245,16643.67394,16542.42,25964.15,16674.14
cunif_a50_b400_L6_c1_2_train,7771.935164,7830.742743,7818.71505,7771.8,11763.42,7795.74
cunif_a50_b400_L6_c1_2_test,7765.309308,7841.102133,7829.919684,7772.41,11812.2,7798.1
cunif_a50_b200_L6_c1_2_train,3269.271572,3279.084677,3267.529268,3272.68,5581.86,3278.36
cunif_a50_b200_L6_c1_2_test,3322.143974,3350.722579,3317.117864,3328.12,5642,3344.67
cunif_a50_b100_L6_c1_2_train,1102.506341,1101.495346,1101.871946,1116.44,2555.81,1110.65
cunif_a50_b100_L6_c1_2_test,1095.884348,1102.515173,1102.883725,1104.37,2572.82,1102.62
cunif_a20_b800_L6_c1_2_train,17341.20388,17364.13316,17316.8752,17313.35,26486.1,17454.05
cunif_a20_b800_L6_c1_2_test,17087.3882,17182.3097,17142.08823,17084.8,26403.41,17216.47
cunif_a20_b50_L6_c1_2_train,659.11723,665.5185644,661.8753118,681.06,1335.79,661.35
cunif_a20_b50_L6_c1_2_test,665.7137065,670.725563,669.0915441,684.25,1330.81,667.89
cunif_a20_b400_L6_c1_2_train,8535.139265,8567.027912,8519.920775,8537.18,12136.92,8565.05
cunif_a20_b400_L6_c1_2_test,8452.787832,8475.945714,8452.116962,8451.54,12231.11,8475.92
cunif_a20_b200_L6_c1_2_train,3926.534285,3927.503429,3928.754963,3935.38,5884.23,3959.06
cunif_a20_b200_L6_c1_2_test,3992.624899,3998.086369,3998.467062,4001.53,5888.75,4024.29
cunif_a20_b100_L6_c1_2_train,1815.143276,1817.655045,1809.3286,1810.63,2903.68,1826.52
cunif_a20_b100_L6_c1_2_test,1773.11241,1767.585683,1761.93811,1763.79,2855.67,1777.98
cunif_a10_b800_L6_c1_2_train,17472.90914,17484.50005,17465.26142,17469.24,26718.47,17506.29
cunif_a10_b800_L6_c1_2_test,17428.74432,17437.56006,17394.11596,17415.92,26463.16,17524.69
cunif_a10_b50_L6_c1_2_train,897.434309,898.7085677,897.6342887,898.57,1451.27,900.58
cunif_a10_b50_L6_c1_2_test,891.0415557,893.2728491,890.9289782,884.05,1432.7,893.29
cunif_a10_b400_L6_c1_2_train,8802.588832,8826.442709,8804.4371,8802.26,12353.45,8883.26
cunif_a10_b400_L6_c1_2_test,8678.400992,8717.790976,8676.539683,8674.84,12363.16,8717.9
cunif_a10_b200_L6_c1_2_train,4196.580508,4201.424035,4191.417101,4200.95,5992.24,4225.63
cunif_a10_b200_L6_c1_2_test,4242.51363,4259.144112,4237.525099,4235.23,5991.78,4256.58
cunif_a10_b100_L6_c1_2_train,2031.0971,2023.551974,2021.949948,2030.02,2958.4,2069.16
cunif_a10_b100_L6_c1_2_test,2002.883053,2003.245528,2001.794089,2007.04,2954.92,2010.23
cunif_a0_b800_L6_c1_2_train,17822.463,17826.96094,17702.80168,17817.2,27014.4,17903.34
cunif_a0_b800_L6_c1_2_test,17722.06611,17714.19703,17721.19846,17710.71,26763.23,17834.64
cunif_a0_b50_L6_c1_2_train,1119.961115,1118.154608,1118.164522,1130.76,1543.2,1122.38
cunif_a0_b50_L6_c1_2_test,1099.54485,1099.372973,1100.264173,1106.58,1524.58,1109.11
cunif_a0_b400_L6_c1_2_train,8834.839954,8843.513892,8833.721976,8836.81,12671.72,8843.5
cunif_a0_b400_L6_c1_2_test,8870.316837,8932.797891,8869.600211,8853.6,12405.2,8930.72
cunif_a0_b200_L6_c1_2_train,4389.097317,4431.890378,4389.641214,4388.23,6054.58,4431.56
cunif_a0_b200_L6_c1_2_test,4413.412526,4444.878344,4408.567376,4422.07,6080.6,4441.5
cunif_a0_b100_L6_c1_2_train,2211.068276,2211.318611,2209.141326,2223.22,3026.78,2216.85
cunif_a0_b100_L6_c1_2_test,2220.979599,2225.192166,2224.017111,2235.39,3057.03,2239.5
binom_n800_p0p95_L6_c1_2_train,483.3808426,1215.524822,478.0304671,499.77,16388.74,477.76
binom_n800_p0p95_L6_c1_2_test,472.79387,1209.567879,469.7831077,498.71,16385.19,467.33
binom_n800_p0p9_L6_c1_2_train,779.5317186,805.9155796,703.1311952,680.22,15702.36,647.15
binom_n800_p0p9_L6_c1_2_test,766.9597514,792.933552,705.612327,671.81,15706,644.35
binom_n800_p0p7_L6_c1_2_train,1016.866346,1157.248679,1020.651945,973.41,12652.3,987.45
binom_n800_p0p7_L6_c1_2_test,1012.900623,1156.880098,1026.717493,972.07,12660.68,981.79
binom_n800_p0p5_L6_c1_2_train,1120.058768,1142.123949,1056.702506,1045.92,9355.22,1053.39
binom_n800_p0p5_L6_c1_2_test,1124.747653,1144.302601,1076.436207,1063.78,9369.09,1078.17
binom_n800_p0p3_L6_c1_2_train,987.5631747,962.1090787,979.1842952,948.84,5911.36,957.19
binom_n800_p0p3_L6_c1_2_test,998.2939111,985.8406761,1005.208837,963.65,5925.61,975.69
binom_n800_p0p2_L6_c1_2_train,837.6639425,851.0134677,838.4100711,829.85,4127.11,852.54
binom_n800_p0p2_L6_c1_2_test,846.3632136,850.5794955,856.7835926,844.19,4136.29,849.9
binom_n800_p0p1_L6_c1_2_train,635.4870422,634.0973704,643.4840907,659.18,2268.62,634.01
binom_n800_p0p1_L6_c1_2_test,644.7196381,649.0511691,655.512075,671.05,2265.59,644.87
binom_n800_p0p05_L6_c1_2_train,477.0167726,477.5973284,476.6475172,501.69,1267.02,476.52
binom_n800_p0p05_L6_c1_2_test,465.0575383,466.1118048,463.6234138,497.25,1259.53,464.15
binom_n50_p0p95_L6_c1_2_train,125.4572546,125.6337994,120.7123052,187.19,1108.42,126.11
binom_n50_p0p95_L6_c1_2_test,126.4728253,126.8212072,120.9125703,186.46,1108.47,127.34
binom_n50_p0p9_L6_c1_2_train,163.2622468,163.2033485,160.8880041,171.3,1089.52,161.33
binom_n50_p0p9_L6_c1_2_test,166.9236936,166.8598966,163.9495022,174.8,1094.74,164.85
binom_n50_p0p7_L6_c1_2_train,266.1663905,253.0215682,267.9121677,269.56,964.61,260.11
binom_n50_p0p7_L6_c1_2_test,267.5834912,247.6010164,255.8223805,262.01,959.67,260.41
binom_n50_p0p5_L6_c1_2_train,257.907931,255.1811052,272.3105641,279.63,762.78,264.71
binom_n50_p0p5_L6_c1_2_test,268.9402242,267.2193525,281.3834923,286.9,769.67,274.73
binom_n50_p0p3_L6_c1_2_train,243.5751013,249.1200993,242.5202946,255.54,532.14,258.21
binom_n50_p0p3_L6_c1_2_test,241.3821521,243.013486,243.4155491,260.97,535.19,255.67
binom_n50_p0p2_L6_c1_2_train,211.1580428,210.9752752,211.5002817,226.35,398.13,223.64
binom_n50_p0p2_L6_c1_2_test,207.7230012,208.3509717,207.7227433,226.22,400.84,215.82
binom_n50_p0p1_L6_c1_2_train,151.7663037,151.6921932,151.1423105,165.53,244.89,151.69
binom_n50_p0p1_L6_c1_2_test,158.5949208,157.8729117,157.2820332,169.69,245.66,157.84
binom_n50_p0p05_L6_c1_2_train,107.5441247,107.5531909,107.1588678,142.59,151.77,110.25
binom_n50_p0p05_L6_c1_2_test,111.1119708,112.0471035,110.6803628,142.66,151.88,116.72
binom_n400_p0p95_L6_c1_2_train,790.9749068,359.9628845,502.492158,353.58,8284.32,333.06
binom_n400_p0p95_L6_c1_2_test,784.5157978,360.1788867,497.8289372,360.57,8287.89,338.42
binom_n400_p0p9_L6_c1_2_train,508.290149,493.2406633,526.8634251,519.15,7994.92,473.18
binom_n400_p0p9_L6_c1_2_test,509.1719148,492.4223991,504.1924329,489.71,7975.4,464.19
binom_n400_p0p7_L6_c1_2_train,732.9783533,703.2146898,732.9783533,704.16,6493.08,697.56
binom_n400_p0p7_L6_c1_2_test,736.5159628,703.4268063,736.6592509,704.07,6509.46,690.59
binom_n400_p0p5_L6_c1_2_train,756.074356,765.4564948,765.7985284,754.88,4896.75,756.59
binom_n400_p0p5_L6_c1_2_test,763.6598585,776.4409276,763.3352528,762.56,4890.87,757.71
binom_n400_p0p3_L6_c1_2_train,676.597495,681.6650821,701.1143931,689.57,3153.53,682.15
binom_n400_p0p3_L6_c1_2_test,689.3258733,695.7948618,722.2200236,709.27,3153.19,696.07
binom_n400_p0p2_L6_c1_2_train,611.1720716,610.5835788,624.2305526,643.27,2231.13,611.33
binom_n400_p0p2_L6_c1_2_test,597.8630109,598.4394148,617.8090169,637.86,2226.36,601.87
binom_n400_p0p1_L6_c1_2_train,463.8128999,459.6942623,461.5306953,486.48,1242.79,462.59
binom_n400_p0p1_L6_c1_2_test,454.3389164,450.9434965,452.1867664,483.13,1249.49,453.15
binom_n400_p0p05_L6_c1_2_train,334.4351349,337.8032785,328.4116954,352.55,714.05,331.84
binom_n400_p0p05_L6_c1_2_test,325.135595,332.7481854,324.2706004,346.57,712.82,324.05
binom_n200_p0p95_L6_c1_2_train,283.4554106,247.0413777,250.5585421,261.02,4212.98,258.49
binom_n200_p0p95_L6_c1_2_test,266.709215,241.046713,243.2676041,254.54,4208.3,252.95
binom_n200_p0p9_L6_c1_2_train,324.3465287,355.527906,322.0829349,354.83,4077.91,324.26
binom_n200_p0p9_L6_c1_2_test,320.8179563,360.5809684,317.5309347,342.04,4072.32,320.84
binom_n200_p0p7_L6_c1_2_train,510.4845212,528.9018318,487.8627063,523.96,3378.26,488.21
binom_n200_p0p7_L6_c1_2_test,520.3403998,519.0427906,496.072905,525.7,3387.21,496.61
binom_n200_p0p5_L6_c1_2_train,557.0966356,560.8647884,540.1733365,589.01,2595.68,560.36
binom_n200_p0p5_L6_c1_2_test,544.3823094,551.2964925,532.5859453,570.41,2587.39,535.01
binom_n200_p0p3_L6_c1_2_train,484.8460763,485.6190098,484.5465147,528.85,1708.15,486.3
binom_n200_p0p3_L6_c1_2_test,480.7043659,482.678213,481.8582795,522.26,1701.35,483.9
binom_n200_p0p2_L6_c1_2_train,438.314379,434.8988564,435.9368456,470.45,1230.41,437.05
binom_n200_p0p2_L6_c1_2_test,430.4978458,423.4062566,427.1326993,453.18,1224.36,428.84
binom_n200_p0p1_L6_c1_2_train,324.3009201,325.6227952,319.1949844,343.85,711.23,325.06
binom_n200_p0p1_L6_c1_2_test,318.8931575,314.8274092,312.7909773,340.19,707.15,314.82
binom_n200_p0p05_L6_c1_2_train,232.7922439,231.9777619,231.6845334,251.14,422.37,244.82
binom_n200_p0p05_L6_c1_2_test,230.9424277,230.6688272,230.1534034,250,418.93,246.91
binom_n20_p0p95_L6_c1_2_train,85.14914787,80.4555819,79.03967292,108.13,470.43,106.47
binom_n20_p0p95_L6_c1_2_test,83.00818136,81.02983654,78.84908631,106.15,469.62,108.33
binom_n20_p0p9_L6_c1_2_train,107.3899898,132.6128144,114.8396367,157.11,474.05,121.44
binom_n20_p0p9_L6_c1_2_test,106.7228699,131.0128223,115.7865463,158.7,474.48,119.96
binom_n20_p0p7_L6_c1_2_train,155.3625092,152.7312386,152.735665,189.19,434,152.73
binom_n20_p0p7_L6_c1_2_test,160.5621948,157.5383321,157.5511712,190.88,436.78,157.53
binom_n20_p0p5_L6_c1_2_train,174.3962455,171.7453538,171.6147256,184.95,366.77,172.98
binom_n20_p0p5_L6_c1_2_test,172.0652226,168.6667679,168.6244602,181.54,364.46,169.46
binom_n20_p0p3_L6_c1_2_train,149.0729087,148.9568456,149.0450162,149.27,259.61,150.03
binom_n20_p0p3_L6_c1_2_test,151.8691946,152.0646818,152.0543834,152.11,263.18,152.62
binom_n20_p0p2_L6_c1_2_train,129.1888286,129.2058824,129.1389093,157.93,200.13,130.46
binom_n20_p0p2_L6_c1_2_test,131.5383047,131.5289554,130.9201584,158.41,202.37,133.91
binom_n20_p0p1_L6_c1_2_train,99.41401716,99.42601202,98.87085686,124.37,128.33,111.94
binom_n20_p0p1_L6_c1_2_test,97.07701186,97.06542619,96.76733396,122.98,127.11,110.16
binom_n20_p0p05_L6_c1_2_train,69.35901111,69.29861667,69.28826517,80.87,80.87,102.3
binom_n20_p0p05_L6_c1_2_test,69.64188585,69.71884978,69.6682733,80.45,80.31,100.35
binom_n100_p0p95_L6_c1_2_train,171.7262344,169.0386565,173.4903745,176.02,2144.95,165.81
binom_n100_p0p95_L6_c1_2_test,174.2734305,173.3561645,177.2747846,178.61,2149.37,169.91
binom_n100_p0p9_L6_c1_2_train,237.1174932,235.6980877,232.4168217,247.35,2106.11,243.83
binom_n100_p0p9_L6_c1_2_test,234.2883994,233.1153904,230.2522334,246.35,2100.83,239.01
binom_n100_p0p7_L6_c1_2_train,340.6877524,342.799489,360.4725502,363.12,1779.13,340.5
binom_n100_p0p7_L6_c1_2_test,351.2218462,355.356938,365.9705224,373.5,1786.05,350.78
binom_n100_p0p5_L6_c1_2_train,374.0750147,373.0627909,374.0110506,396.56,1389.14,372.42
binom_n100_p0p5_L6_c1_2_test,379.6503293,379.8286068,379.595168,403.69,1393.35,379.19
binom_n100_p0p3_L6_c1_2_train,342.8379371,348.2403781,338.0421228,368.81,944.55,341.92
binom_n100_p0p3_L6_c1_2_test,342.1361305,345.2416407,339.5844827,368.56,939.78,342.05
binom_n100_p0p2_L6_c1_2_train,297.1098628,295.7434288,293.3127927,314.85,684.14,295.97
binom_n100_p0p2_L6_c1_2_test,305.8962836,303.8716988,300.6447787,324.78,693.9,304.73
binom_n100_p0p1_L6_c1_2_train,222.2150874,222.0441091,221.5712093,240.19,414.16,228.46
binom_n100_p0p1_L6_c1_2_test,221.2329147,221.0814418,220.7089395,238.52,409.57,231.12
binom_n100_p0p05_L6_c1_2_train,163.2653422,164.8701467,162.3449495,175.54,251.24,164.68
binom_n100_p0p05_L6_c1_2_test,159.6528653,161.4725918,158.6751936,173.79,249.29,159.1
beta_a5_b5_M500_L6_c1_2_train,5519.126957,5569.303424,5498.867224,5499.38,10313.31,5568.37
beta_a5_b5_M500_L6_c1_2_test,5691.322788,5751.061868,5707.387564,5693.16,10444.23,5742.17
beta_a5_b5_M50_L6_c1_2_train,567.3741644,581.1538651,569.3083518,606.9,1040.43,581.12
beta_a5_b5_M50_L6_c1_2_test,565.6416195,573.1881845,570.9320632,611.14,1045.86,573.16
beta_a5_b5_M200_L6_c1_2_train,2326.493251,2324.378458,2319.323235,2337.81,4187.39,2332.51
