dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2,capped_base_stock,basestock,constant
zinb_pi0p5_r20_p0p3_L6_c1_2_train,1885.309679,1886.038472,1875.88971,1902.64,2054.05,1893.99
zinb_pi0p5_r20_p0p3_L6_c1_2_test,1886.502241,1887.880942,1887.069826,1903.08,2049.81,1894.15
zinb_pi0p5_r20_p0p2_L6_c1_2_train,3250.57289,3250.649915,3243.086105,3252.91,3509.34,3251.16
zinb_pi0p5_r20_p0p2_L6_c1_2_test,3249.340393,3254.197485,3231.646985,3236.16,3505.65,3252.63
zinb_pi0p5_r20_p0p1_L6_c1_2_train,7346.046615,7334.029753,7298.070524,7336.08,8112.54,7348.09
zinb_pi0p5_r20_p0p1_L6_c1_2_test,7320.021078,7309.961606,7308.171439,7303.66,7958.04,7341.98
zinb_pi0p5_r2_p0p8_L6_c1_2_train,24.66000273,24.66000289,24.66,24.66,24.66,24.66
zinb_pi0p5_r2_p0p8_L6_c1_2_test,24.41200282,24.41200299,24.412,24.41,24.41,24.41
zinb_pi0p5_r2_p0p6_L6_c1_2_train,68.5924002,68.58673209,68.60382087,68.7,68.6,68.7
zinb_pi0p5_r2_p0p6_L6_c1_2_test,67.84024629,67.78361852,67.72873957,67.33,67.33,67.33
zinb_pi0p5_r2_p0p4_L6_c1_2_train,141.8877381,141.8991545,141.7725469,144.57,144.57,148.48
zinb_pi0p5_r2_p0p4_L6_c1_2_test,141.644985,141.6448251,141.5597778,144.36,144.36,149.1
zinb_pi0p5_r2_p0p3_L6_c1_2_train,213.9889995,213.9877545,213.9889305,222.21,222.03,222.91
zinb_pi0p5_r2_p0p3_L6_c1_2_test,217.0484447,217.0531549,217.0303009,223.9,223.69,224.65
zinb_pi0p5_r2_p0p2_L6_c1_2_train,361.2778288,361.3039802,361.099109,374.85,378.45,363.12
zinb_pi0p5_r2_p0p2_L6_c1_2_test,363.8630028,363.7832643,363.008212,375.5,378.95,365.41
zinb_pi0p5_r2_p0p1_L6_c1_2_train,817.2234721,817.2975074,817.5481709,826.82,857.11,820.37
zinb_pi0p5_r2_p0p1_L6_c1_2_test,817.0491243,818.0094843,815.8840935,825.55,855.36,817.34
zinb_pi0p5_r10_p0p8_L6_c1_2_train,111.0807136,111.0891278,111.0868546,116.86,116.86,123.58
zinb_pi0p5_r10_p0p8_L6_c1_2_test,116.0345408,116.1315978,116.2400157,118.67,118.67,124.98
zinb_pi0p5_r10_p0p6_L6_c1_2_train,287.0587229,287.0595855,286.8258744,303.22,306.81,292.23
