dataset,exponential_L6_c1_2,poisson_L6_c1_2,normal_std10_L6_c1_2,normal_std30_L6_c1_2,normal_std50_L6_c1_2,capped_base_stock,basestock,constant
zinb_pi0p3_r40_p0p2_L6_c1_2_train,6250.04,6262.34,6251.81,6243.96,6285.48,6250.84,7921.59,6285.83
zinb_pi0p3_r40_p0p2_L6_c1_2_test,6295.54,6275.82,6284.1,6279.74,6328.28,6263.7,7856.2,6343.3
zinb_pi0p3_r40_p0p1_L6_c1_2_train,14214.9,14232.23,14228.28,14214.42,14332.24,14222.09,18958.74,14239
zinb_pi0p3_r40_p0p1_L6_c1_2_test,14292.82,14206.27,14206.56,14258.47,14332.94,14196.67,18798.45,14338.93
zinb_pi0p3_r20_p0p8_L6_c1_2_train,222.62,223.44,223.31,223.04,223.04,253.93,271.88,223.73
zinb_pi0p3_r20_p0p8_L6_c1_2_test,227.06,228.13,228.19,227.24,227.24,254.73,271.4,228.22
zinb_pi0p3_r20_p0p6_L6_c1_2_train,562.75,563.81,563.41,561.55,564.03,585.52,691.48,564.89
zinb_pi0p3_r20_p0p6_L6_c1_2_test,562.75,563.97,563.46,563.77,565.3,588.59,691.37,565.88
zinb_pi0p3_r20_p0p4_L6_c1_2_train,1212.72,1215.57,1214.83,1212.68,1220.6,1215.4,1532.46,1235.39
zinb_pi0p3_r20_p0p4_L6_c1_2_test,1220.47,1225.3,1227.51,1222.81,1228.76,1224.19,1525.97,1234.6
zinb_pi0p3_r20_p0p3_L6_c1_2_train,1878.72,1885.92,1887.13,1880.47,1876.98,1891.54,2331.89,1895.68
zinb_pi0p3_r20_p0p3_L6_c1_2_test,1884.48,1887.76,1887.18,1896.55,1901.74,1895.83,2356.44,1919.1
zinb_pi0p3_r20_p0p2_L6_c1_2_train,3247.71,3257.73,3257.97,3246.89,3265.66,3267.13,4066.07,3274.42
zinb_pi0p3_r20_p0p2_L6_c1_2_test,3210.61,3207.25,3214.73,3210.67,3225.2,3193.41,3989.46,3227.64
zinb_pi0p3_r20_p0p1_L6_c1_2_train,7346.98,7355.33,7356.98,7353.79,7412.48,7354.69,9127.45,7405.03
zinb_pi0p3_r20_p0p1_L6_c1_2_test,7260.97,7304.25,7306.45,7271.05,7314.78,7259.14,9040.37,7318.45
zinb_pi0p3_r2_p0p8_L6_c1_2_train,34.3,34.3,34.3,34.3,34.3,34.3,34.3,34.3
zinb_pi0p3_r2_p0p8_L6_c1_2_test,35.11,35.11,35.11,35.11,35.11,35.11,35.11,35.11
