dataset,exponential_L6_c1_2,poisson_L6_c1_2,normal_std10_L6_c1_2,normal_std30_L6_c1_2,normal_std50_L6_c1_2,capped_base_stock,basestock,constant
logn_mlog3p5_s1_L6_c1_2_test,3385.58,3386.91,3387.12,3388.01,3392.95,3386.6,4022.4,3386.66
logn_mlog3p5_s0p7_L6_c1_2_train,1954.49,1957.48,1957.39,1954.36,1968.62,1964.4,2602.97,1957.48
logn_mlog3p5_s0p7_L6_c1_2_test,1958.11,1964.8,1964.36,1958.77,1984.94,1968.12,2586.12,1962.61
logn_mlog3p5_s0p5_L6_c1_2_train,1313.44,1319.28,1319.13,1314.25,1330.92,1325.29,1935.96,1319.28
logn_mlog3p5_s0p5_L6_c1_2_test,1282.37,1286.46,1292.23,1283.87,1300.78,1288.75,1919.18,1286.46
logn_mlog3p5_s0p3_L6_c1_2_train,744.06,745.02,741.18,743.19,751.51,738.86,1389.28,748.19
logn_mlog3p5_s0p3_L6_c1_2_test,734.66,736.86,734.37,736.28,750.39,733.52,1389.08,737.36
logn_mlog3_s1p3_L6_c1_2_train,3504.14,3504.17,3504.1,3503.02,3512.18,3519.04,3903.88,3504.26
logn_mlog3_s1p3_L6_c1_2_test,3502.39,3505.31,3505.74,3503.83,3511.43,3519.02,3879.94,3505.72
logn_mlog3_s1_L6_c1_2_train,1973.82,1982.71,1982.87,1972.19,1987.83,2011.83,2351.32,1982.71
logn_mlog3_s1_L6_c1_2_test,2042,2035.93,2035.68,2039.01,2049.61,2065.33,2424.03,2035.93
logn_mlog3_s0p7_L6_c1_2_train,1181.27,1183.05,1183.03,1178.64,1187.81,1220.27,1559.18,1183.05
logn_mlog3_s0p7_L6_c1_2_test,1192.21,1193.87,1193.59,1191,1196.97,1221.77,1571.48,1193.87
logn_mlog3_s0p5_L6_c1_2_train,778.19,780.89,784.32,777.46,781.35,797.88,1152.25,788.19
logn_mlog3_s0p5_L6_c1_2_test,780.54,783.57,785.1,780.36,786.64,807.55,1163.65,787.35
logn_mlog3_s0p3_L6_c1_2_train,456.35,456.65,455.94,454.78,461.73,480.41,847.04,457.51
logn_mlog3_s0p3_L6_c1_2_test,450.98,451.65,449.65,450.41,458.44,471.32,846.23,452.09
logn_mlog2p5_s1p3_L6_c1_2_train,2123.76,2127.69,2127.7,2123.74,2129.26,2141.17,2366.87,2127.73
logn_mlog2p5_s1p3_L6_c1_2_test,2114.69,2114.56,2116.91,2118.7,2119.84,2122.11,2348.87,2115.55
logn_mlog2p5_s1_L6_c1_2_train,1166.78,1166.54,1166.56,1165.78,1169.15,1166.54,1396.5,1166.78
logn_mlog2p5_s1_L6_c1_2_test,1255.98,1256.17,1253.14,1253.7,1257.09,1255.84,1484.02,1253.12
logn_mlog2p5_s0p7_L6_c1_2_train,719.26,723.35,719.6,717.98,721.52,723.35,954.95,723.35
logn_mlog2p5_s0p7_L6_c1_2_test,724.84,731.46,727.22,725.8,729.77,731.42,955.26,731.42
logn_mlog2p5_s0p5_L6_c1_2_train,477.54,483.89,479.94,477.67,484.27,489.11,713.37,483.89
logn_mlog2p5_s0p5_L6_c1_2_test,480.91,484.7,481.39,479.66,484.88,492.43,716.64,484.7
logn_mlog2p5_s0p3_L6_c1_2_train,269.22,270.35,270.31,269.33,275.78,311.59,513.63,270.35
logn_mlog2p5_s0p3_L6_c1_2_test,271.01,272.28,272.21,271.45,275.82,311.74,512.52,272.28
logn_mlog2_s1p3_L6_c1_2_train,1247.1,1250.07,1248.4,1246.34,1247.6,1274.93,1372.72,1250.49
logn_mlog2_s1p3_L6_c1_2_test,1292.57,1298.75,1295.04,1293.41,1295.46,1330.57,1436.62,1293.68
logn_mlog2_s1_L6_c1_2_train,747.53,753.87,751.6,747.1,751.4,786.61,888.02,754.2
logn_mlog2_s1_L6_c1_2_test,749.12,754.78,748.82,754.25,755.6,788.84,891.36,752.66
logn_mlog2_s0p7_L6_c1_2_train,429.78,435.8,431.36,429.9,434.66,477.86,573.56,438.37
logn_mlog2_s0p7_L6_c1_2_test,437.38,440.97,434.66,436.29,440.51,481.8,576.54,437.85
logn_mlog2_s0p5_L6_c1_2_train,284.32,288.92,283.29,284.27,288.86,340.71,430.08,294.69
logn_mlog2_s0p5_L6_c1_2_test,287.13,292.85,287.17,287.63,290.82,340.71,428.89,295.11
logn_mlog2_s0p3_L6_c1_2_train,173.86,175.83,173.57,174.24,178.26,226.85,312.69,192.57
logn_mlog2_s0p3_L6_c1_2_test,166.71,168.08,168.44,167.44,171.34,221.21,311.14,176.11
logn_mlog1p5_s1p3_L6_c1_2_train,726.71,727.71,727.97,727.23,728.53,739.44,814.13,727.83
logn_mlog1p5_s1p3_L6_c1_2_test,777.35,777.9,777.85,777.19,778.36,788.49,865.05,777.72
logn_mlog1p5_s1_L6_c1_2_train,474.4,475.88,475.56,474.44,474.91,486.72,558.33,477.64
logn_mlog1p5_s1_L6_c1_2_test,464.81,465.65,464.86,464.68,466.5,477.09,550.55,464.28
logn_mlog1p5_s0p7_L6_c1_2_train,262.68,263.02,262.76,262.45,265.25,279.5,348.89,266.36
logn_mlog1p5_s0p7_L6_c1_2_test,267.41,267.85,267.92,267.55,267.9,282.02,352.49,269.47
logn_mlog1p5_s0p5_L6_c1_2_train,173.02,173.34,173.46,172.81,174.85,191.58,264.02,174.65
logn_mlog1p5_s0p5_L6_c1_2_test,176.02,175.76,175.83,176.2,177.98,192.25,261.74,177.77
logn_mlog1p5_s0p3_L6_c1_2_train,100.71,101.51,101.66,100.65,101.37,115.78,189.9,101.59
logn_mlog1p5_s0p3_L6_c1_2_test,100.12,100.47,100.76,99.95,100.78,116.57,189.28,100.63
geom_p0p8_L6_c1_2_train,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5
geom_p0p8_L6_c1_2_test,24.95,24.95,24.95,24.95,24.95,24.95,24.95,24.95
geom_p0p6_L6_c1_2_train,64.04,64.04,63.22,64.04,64.04,66.56,64.04,66.56
geom_p0p6_L6_c1_2_test,63.28,63.28,62.83,63.28,63.28,66.2,63.28,66.3
geom_p0p4_L6_c1_2_train,118.16,118.19,117.08,117.42,122.7,128.9,128.9,137.74
geom_p0p4_L6_c1_2_test,119.89,120.67,118.97,119.32,124.41,131,131,138.38
geom_p0p3_L6_c1_2_train,172.67,173.37,173.33,172.67,172.67,192.19,194.32,173.37
geom_p0p3_L6_c1_2_test,168.6,169.16,168.98,168.6,168.6,190.63,192.85,169.16
geom_p0p2_L6_c1_2_train,265.42,266.82,266.43,265.04,266.57,291.67,309.2,267.99
geom_p0p2_L6_c1_2_test,273.55,274.14,274.68,273.86,274.51,303.62,319.26,274.2
geom_p0p15_L6_c1_2_train,367.12,367.83,368.27,367.35,368.61,388.48,434.45,368.61
geom_p0p15_L6_c1_2_test,374.74,375.36,375.7,374.77,375.36,397.75,439.09,375.36
geom_p0p1_L6_c1_2_train,589.37,591.12,591.32,589.49,590.28,591.14,696.49,591.24
geom_p0p1_L6_c1_2_test,578.74,579.99,580.86,579.62,584.62,579.35,689.13,580.86
geom_p0p08_L6_c1_2_train,717.98,721.73,721.73,717.87,720.54,748.36,861.69,722.1
geom_p0p08_L6_c1_2_test,735.7,736.7,736.34,735.64,742.05,761.74,869.7,736.61
geom_p0p05_L6_c1_2_train,1190.73,1191.41,1190.16,1190.46,1194.95,1206.33,1428.38,1194.42
geom_p0p05_L6_c1_2_test,1205.63,1201.56,1205.32,1210.09,1208.22,1203.24,1431.8,1204.11
geom_p0p03_L6_c1_2_train,1989.2,1995.65,1997.75,1996.57,1995.98,2003.68,2409.15,2002.81
geom_p0p03_L6_c1_2_test,2024.68,2032,2033.34,2027.4,2031.87,2042.78,2425.07,2030.93
gamma_k5_th80_L6_c1_2_train,12161.29,12126.65,12128.82,12107.53,12220.83,12100.51,20556.54,12183.7
gamma_k5_th80_L6_c1_2_test,12524.74,12463.56,12466.56,12475.58,12591.18,12441.71,20859.43,12507.42
gamma_k5_th5_L6_c1_2_train,759.19,759.74,760.91,758.36,768.22,759.7,1214.05,760.26
gamma_k5_th5_L6_c1_2_test,777.11,776.09,778.18,776.2,781.64,774.95,1218.19,778.04
gamma_k5_th40_L6_c1_2_train,6405.21,6386.23,6383.44,6370.27,6463.98,6379.33,9982.15,6391.15
gamma_k5_th40_L6_c1_2_test,6315.85,6279.49,6277.38,6259.47,6333.17,6276.07,9836.98,6297.62
gamma_k5_th20_L6_c1_2_train,3072.17,3069.16,3080.42,3070.66,3093.96,3086.36,4914.25,3100.91
gamma_k5_th20_L6_c1_2_test,3118.92,3129.9,3123.12,3120,3151.9,3122.72,4914.87,3133.21
gamma_k5_th2_L6_c1_2_train,311.05,312.32,312.23,311.46,315.11,339.96,488,315.32
gamma_k5_th2_L6_c1_2_test,311.11,312.42,314.42,311.26,314.58,340.24,488.45,312.57
gamma_k5_th10_L6_c1_2_train,1555.76,1575.5,1567.32,1552.23,1576.57,1566.04,2441.27,1575.5
gamma_k5_th10_L6_c1_2_test,1569.92,1571.52,1557.21,1565.63,1595.49,1558.07,2459.05,1562.45
gamma_k20_th80_L6_c1_2_train,25714.09,25850.39,25851.66,25735.99,26960.37,25553.26,61807.65,25888.74
gamma_k20_th80_L6_c1_2_test,26141.23,26274.69,26275.63,26192.51,27288.12,26050,62976.6,26230.07
gamma_k20_th5_L6_c1_2_train,1611.65,1614.37,1614.7,1606.83,1646.4,1600.74,3589.7,1614.37
gamma_k20_th5_L6_c1_2_test,1630.1,1637.35,1637.31,1630.16,1687.47,1625.9,3570.18,1637.35
gamma_k20_th40_L6_c1_2_train,12949.45,12932.03,12930.26,12948.85,13312.09,12892.4,29746.92,12975.82
gamma_k20_th40_L6_c1_2_test,13025.43,13037.48,13035.58,13028.34,13432.2,12986.24,29847.07,13058.84
gamma_k20_th20_L6_c1_2_train,6540.86,6622.04,6621.75,6547.52,6815.95,6532.13,14332.08,6548.42
gamma_k20_th20_L6_c1_2_test,6504.5,6573.03,6567.62,6488.29,6655.58,6477.15,14285.45,6520.73
gamma_k20_th2_L6_c1_2_train,640.82,640.85,640.61,640.31,666.28,664.56,1426.5,640.85
gamma_k20_th2_L6_c1_2_test,650.68,651.17,648.24,648.21,672.71,667.95,1426.86,651.36
gamma_k20_th10_L6_c1_2_train,3269.44,3257.78,3253.67,3255.82,3299.61,3243.25,7127.89,3282.96
gamma_k20_th10_L6_c1_2_test,3290.43,3266.28,3260.49,3268.63,3340.55,3257.55,7144.17,3267.33
gamma_k2_th80_L6_c1_2_train,7541.74,7517.4,7524.55,7523.93,7571.42,7526.24,10110.6,7551.74
gamma_k2_th80_L6_c1_2_test,7484.56,7463.74,7462.01,7456.52,7496.61,7456.39,10094.91,7475.69
gamma_k2_th5_L6_c1_2_train,458.93,459.4,459.29,458.87,458.66,505.78,630.64,460.85
gamma_k2_th5_L6_c1_2_test,471.16,471.74,473.52,470.94,480.68,512.15,624.07,474.06
gamma_k2_th40_L6_c1_2_train,3733.5,3731.82,3734.39,3724.83,3736.73,3726.3,4922.54,3748.71
gamma_k2_th40_L6_c1_2_test,3762.62,3761.28,3763.43,3765.69,3786.19,3758,4979.23,3771.18
gamma_k2_th20_L6_c1_2_train,1819.41,1825.28,1823.45,1817.43,1833.95,1847.04,2444.69,1825.28
gamma_k2_th20_L6_c1_2_test,1880.56,1886.88,1884.64,1877.36,1887.68,1899.61,2500.53,1885.32
gamma_k2_th2_L6_c1_2_train,193.08,194.89,192.99,193.06,193.64,225.34,255.6,201.44
gamma_k2_th2_L6_c1_2_test,188.46,189.41,188.65,188.48,189.29,218.22,248.39,194.76
gamma_k2_th10_L6_c1_2_train,952.37,950.27,950.06,948.07,953.09,962.76,1247.61,957.87
gamma_k2_th10_L6_c1_2_test,937.79,936.93,937.14,936.53,942.03,948.16,1246.81,940.79
gamma_k10_th80_L6_c1_2_train,18375.73,18497.48,18497.5,18394.7,18736.04,18493.57,36385.89,18530.2
gamma_k10_th80_L6_c1_2_test,18290.33,18238.66,18242.32,18278.1,18551.37,18192.2,36142.91,18333.72
gamma_k10_th5_L6_c1_2_train,1160.59,1166.32,1164.9,1160.11,1184.73,1183.43,2078.87,1171.33
gamma_k10_th5_L6_c1_2_test,1120.16,1122.5,1124.79,1124.4,1143.55,1139.54,2062.87,1124.73
gamma_k10_th40_L6_c1_2_train,8975.28,8956.65,8980.58,8956.67,9123.9,8955.36,16808.63,9000.58
gamma_k10_th40_L6_c1_2_test,9110.87,9074.71,9110.89,9096.66,9260.82,9068.51,16896.69,9131.66
gamma_k10_th20_L6_c1_2_train,4440.87,4456.96,4460.99,4437.37,4508.42,4464.15,8180.78,4452.31
gamma_k10_th20_L6_c1_2_test,4473.07,4489.16,4491.5,4469.29,4548.4,4460.47,8212.67,4487.85
gamma_k10_th2_L6_c1_2_train,463.11,460.93,460.69,461.8,473.16,506.47,835.74,463.11
gamma_k10_th2_L6_c1_2_test,455.87,454.83,452.84,452.81,462.24,490.67,830.3,455.87
gamma_k10_th10_L6_c1_2_train,2221.48,2219.07,2218.92,2219.94,2254.25,2223.18,4073.22,2236.73
gamma_k10_th10_L6_c1_2_test,2269.09,2268.62,2271.02,2274.63,2330.65,2276.73,4148.36,2278.8
gamma_k1_th80_L6_c1_2_train,4915.07,4930.82,4931.03,4915.29,4942.96,4930.5,5933.11,4933.67
gamma_k1_th80_L6_c1_2_test,4942.02,4945.74,4944.34,4938.89,4953.75,4944.06,5941.87,4951.3
gamma_k1_th5_L6_c1_2_train,307.35,308.66,308.22,307.25,307.92,334.52,372.35,312.74
gamma_k1_th5_L6_c1_2_test,310.72,310.95,311.18,310.88,311.34,338.22,374.9,312.25
gamma_k1_th40_L6_c1_2_train,2520.4,2524.92,2524.65,2520.94,2529.48,2534.21,3045.9,2525.03
gamma_k1_th40_L6_c1_2_test,2471.26,2471.2,2478.89,2473.63,2474.9,2484.16,2967.98,2476.72
gamma_k1_th20_L6_c1_2_train,1239.97,1244.67,1244.25,1239.31,1243.11,1264.94,1491.26,1251.19
gamma_k1_th20_L6_c1_2_test,1230.65,1234.17,1232.25,1230.66,1235.23,1251.21,1480.26,1234.41
gamma_k1_th2_L6_c1_2_train,125.01,125.64,125.51,125.04,125.16,147.81,149.9,125.78
gamma_k1_th2_L6_c1_2_test,126.22,126.59,127.09,126.21,126.28,149.61,151.19,126.67
gamma_k1_th10_L6_c1_2_train,638.84,638.38,638.59,637.82,638.5,650.13,764.06,651.22
gamma_k1_th10_L6_c1_2_test,618.6,620.68,620.38,618.76,621.14,628.68,744.14,624.24
gamma_k0p8_th80_L6_c1_2_train,4267.9,4265.27,4266.99,4267.59,4292.75,4271.37,4983.34,4268.73
gamma_k0p8_th80_L6_c1_2_test,4262.53,4262.18,4262.91,4260.51,4282.55,4263.51,4988.2,4263.65
gamma_k0p8_th5_L6_c1_2_train,269.16,269.68,269.98,269.38,271.18,300.55,313.76,271.18
gamma_k0p8_th5_L6_c1_2_test,267.37,267.84,268.36,267.83,267.93,297.72,312.83,267.93
gamma_k0p8_th40_L6_c1_2_train,2180.1,2181.35,2182.09,2176.68,2179.9,2206.94,2552.03,2181.35
gamma_k0p8_th40_L6_c1_2_test,2151.72,2153.05,2151.95,2151.31,2155.18,2168.04,2512.98,2153.05
gamma_k0p8_th20_L6_c1_2_train,1050.51,1051.05,1048.9,1048.96,1052.81,1068.6,1231.02,1051.66
gamma_k0p8_th20_L6_c1_2_test,1075.82,1077.74,1075.03,1074.63,1076.8,1090.62,1256.34,1077.3
gamma_k0p8_th2_L6_c1_2_train,114.82,114.82,114.18,113.41,123.46,129.79,129.52,123.46
gamma_k0p8_th2_L6_c1_2_test,112.42,112.42,112.23,111.58,118.08,129.31,128.71,118.08
gamma_k0p8_th10_L6_c1_2_train,565.62,566.62,563.39,564.74,563.27,568.9,664.8,566.62
gamma_k0p8_th10_L6_c1_2_test,537.92,538.88,538.38,538.1,551.2,545.49,629.72,538.88
dunif_L50_H800_L6_c1_2_train,16941.03,16895.11,16901.29,16809.03,16970.22,16869.29,26344.65,17001.01
dunif_L50_H800_L6_c1_2_test,16687.86,16686.17,16684.14,16627.67,16759.6,16620.02,26013.44,16704.07
dunif_L50_H400_L6_c1_2_train,7870.37,7849.35,7849.19,7824.53,7904.73,7840.05,11855.82,7862.29
dunif_L50_H400_L6_c1_2_test,7880.14,7798.33,7799.16,7812.28,7889.59,7801.12,11857.4,7874.03
dunif_L50_H200_L6_c1_2_train,3349.98,3341.73,3343.09,3350.91,3429.17,3338.98,5649.48,3354.25
dunif_L50_H200_L6_c1_2_test,3360.15,3358.32,3361.81,3363.68,3419.66,3360.06,5655.46,3368.59
dunif_L50_H100_L6_c1_2_train,1157.35,1151.94,1144.97,1150.33,1184.81,1151.5,2577.24,1157.35
dunif_L50_H100_L6_c1_2_test,1141.3,1142.69,1141.38,1142.82,1177.68,1142.53,2603.2,1141.3
dunif_L5_H800_L6_c1_2_train,17725.67,17632.69,17632.59,17638.68,17714.35,17624.74,26920.39,17776.06
dunif_L5_H800_L6_c1_2_test,17829.46,17698.85,17698.8,17723.16,17811.97,17686.73,26751.79,17870.25
dunif_L5_H50_L6_c1_2_train,1023.81,1025.22,1024.55,1023.74,1035.35,1049.94,1500.32,1029.29
dunif_L5_H50_L6_c1_2_test,1017.59,1021.34,1017.95,1017.79,1026.81,1042.75,1493.23,1023.79
dunif_L5_H400_L6_c1_2_train,8774.26,8774.23,8773.81,8763.17,8825.6,8773.82,12605.17,8836.68
dunif_L5_H400_L6_c1_2_test,8797.3,8793.59,8794.54,8780.32,8841.7,8792.1,12496.48,8839.55
dunif_L5_H200_L6_c1_2_train,4380.78,4373.13,4373.59,4368.57,4395.45,4374.69,6185.75,4412.04
dunif_L5_H200_L6_c1_2_test,4333.77,4340.72,4341.15,4335.84,4390.98,4347.82,6074.56,4353.36
dunif_L5_H20_L6_c1_2_train,354.79,360.56,356.41,352.35,359.91,360.42,575.41,361.42
dunif_L5_H20_L6_c1_2_test,353.74,359.62,355.61,353.65,358.59,359.54,580.15,359.87
dunif_L5_H100_L6_c1_2_train,2117.68,2109.51,2103.66,2117.03,2122.27,2114.65,3013.59,2163.35
dunif_L5_H100_L6_c1_2_test,2134.78,2138.97,2138.18,2139.29,2152.38,2136.72,3019.37,2149.72
dunif_L20_H800_L6_c1_2_train,17169.88,17166.67,17168.7,17140.89,17345.48,17150.58,26826.54,17206.98
dunif_L20_H800_L6_c1_2_test,17363.5,17298.83,17301.3,17284.01,17364.5,17280.35,26587.74,17400.58
dunif_L20_H50_L6_c1_2_train,692.18,694.43,693.82,691.65,707.95,703.17,1359.17,696.69
dunif_L20_H50_L6_c1_2_test,683.66,681.91,682.48,684.36,700.2,700.73,1352.47,686.26
dunif_L20_H400_L6_c1_2_train,8291.55,8285.25,8286.85,8264.47,8339.55,8285.25,12194.59,8355.92
dunif_L20_H400_L6_c1_2_test,8437.18,8441.38,8440.01,8443.66,8528.7,8441.25,12239.2,8469.18
dunif_L20_H200_L6_c1_2_train,4092.05,4084.33,4049.97,4082.72,4112.83,4050.78,6008.83,4133.68
dunif_L20_H200_L6_c1_2_test,3965.35,3997.09,3982.09,3967.89,4013.27,3987.41,5898.89,3994.29
dunif_L20_H100_L6_c1_2_train,1773.02,1773.8,1771.83,1771.33,1802.94,1768.48,2890.12,1778.04
dunif_L20_H100_L6_c1_2_test,1805.24,1801.24,1800.62,1802.52,1826.53,1798.66,2874.61,1808.99
dunif_L10_H800_L6_c1_2_train,17558.32,17581.35,17585.19,17548.93,17729.85,17558.1,26796.19,17581.04
dunif_L10_H800_L6_c1_2_test,17467.88,17495.64,17521.45,17418.98,17608.9,17446.6,26649.25,17498.31
dunif_L10_H50_L6_c1_2_train,935.25,929.25,928.12,933.89,943.19,928.46,1458.29,943.98
dunif_L10_H50_L6_c1_2_test,902.94,902.7,903.93,906.24,919.21,902.62,1438.11,912.61
dunif_L10_H400_L6_c1_2_train,8598.47,8573.71,8581.76,8546.78,8570.56,8574.63,12245,8653.29
dunif_L10_H400_L6_c1_2_test,8652.42,8621.63,8615.83,8656.11,8674.28,8652.33,12332.65,8673.54
dunif_L10_H200_L6_c1_2_train,4366.87,4371.24,4372.95,4361.88,4397.29,4378.14,6111.62,4389.15
dunif_L10_H200_L6_c1_2_test,4232.02,4242.76,4250.84,4223.01,4253.17,4224.52,6029.02,4235.93
dunif_L10_H20_L6_c1_2_train,249.68,239.31,240.94,236.14,243.74,252.24,527.94,252.02
dunif_L10_H20_L6_c1_2_test,255.72,248.65,247.6,244.73,251.85,261.12,533.85,257.26
dunif_L10_H100_L6_c1_2_train,1984.82,1982.83,1976.65,1984.42,2010.52,1983.2,2988.12,1987.77
dunif_L10_H100_L6_c1_2_test,2027.33,2020.96,2024.1,2017.2,2029.39,2026.31,2975.5,2029.55
dunif_L0_H800_L6_c1_2_train,18119.4,18182.24,18183.32,18001.47,18115.19,18155.06,27230.28,18241.01
dunif_L0_H800_L6_c1_2_test,17812.17,17828.95,17832.77,17736.63,17883.31,17733.79,26619.27,17876.64
dunif_L0_H50_L6_c1_2_train,1104.39,1108.77,1107.26,1104.17,1119.27,1121.39,1523.12,1110.1
dunif_L0_H50_L6_c1_2_test,1137.92,1134.68,1146.36,1136.5,1137.19,1140.84,1546.26,1145.46
dunif_L0_H400_L6_c1_2_train,8569.66,8541.75,8541.64,8571.86,8643.34,8541.76,12058.57,8678.12
dunif_L0_H400_L6_c1_2_test,8973.62,8933.86,8934.06,8957.99,9016.43,8909.26,12519.31,8977.25
dunif_L0_H200_L6_c1_2_train,4402.11,4412.64,4422.46,4400.92,4465.66,4416.6,6083.47,4410.03
dunif_L0_H200_L6_c1_2_test,4478.99,4483.96,4459.72,4500.18,4490.24,4457.82,6113.85,4509.87
dunif_L0_H20_L6_c1_2_train,464.04,467.63,467.23,464.04,467.79,493.56,624.26,467.8
dunif_L0_H20_L6_c1_2_test,461.73,465.54,463.25,461.17,464.87,495.96,627.77,466.22
dunif_L0_H100_L6_c1_2_train,2271.42,2278.19,2278.17,2265.69,2289.04,2291.11,3078.92,2288.17
dunif_L0_H100_L6_c1_2_test,2220.86,2222.28,2221.35,2217.64,2231.05,2237.58,3052.64,2236.98
cunif_a50_b800_L6_c1_2_train,16524.58,16470.98,16468.9,16408.8,16569.03,16448.45,25843.52,16591.23
cunif_a50_b800_L6_c1_2_test,16642.98,16541.09,16541.52,16589.69,16673.78,16542.42,25964.15,16674.14
cunif_a50_b400_L6_c1_2_train,7814.21,7773.98,7773.87,7783.69,7888.49,7771.8,11763.42,7795.74
cunif_a50_b400_L6_c1_2_test,7821.48,7761.12,7761.16,7772.44,7850.71,7772.41,11812.2,7798.1
cunif_a50_b200_L6_c1_2_train,3272.77,3270.16,3268.97,3274.22,3344.2,3272.68,5581.86,3278.36
cunif_a50_b200_L6_c1_2_test,3332.72,3323.77,3321.39,3322.71,3394.15,3328.12,5642,3344.67
cunif_a50_b100_L6_c1_2_train,1103.69,1120.38,1105.87,1105.28,1142.89,1116.44,2555.81,1110.65
cunif_a50_b100_L6_c1_2_test,1099.43,1104.62,1109.19,1102.24,1133.48,1104.37,2572.82,1102.62
cunif_a20_b800_L6_c1_2_train,17405.25,17329.06,17330.8,17314.52,17531.71,17313.35,26486.1,17454.05
cunif_a20_b800_L6_c1_2_test,17209.55,17101.81,17104.42,17155.52,17272.15,17084.8,26403.41,17216.47
cunif_a20_b50_L6_c1_2_train,659.11,659.78,660.5,660.66,677.61,681.06,1335.79,661.35
cunif_a20_b50_L6_c1_2_test,664.57,665.52,666.18,666.94,680.4,684.25,1330.81,667.89
cunif_a20_b400_L6_c1_2_train,8514.24,8537.54,8536.22,8505.3,8575.84,8537.18,12136.92,8565.05
cunif_a20_b400_L6_c1_2_test,8463.53,8463.24,8454.37,8476.81,8518.86,8451.54,12231.11,8475.92
cunif_a20_b200_L6_c1_2_train,3932.45,3927.94,3926.87,3933.64,3980.65,3935.38,5884.23,3959.06
cunif_a20_b200_L6_c1_2_test,3998.37,3993.3,3995.94,3999.39,4033.33,4001.53,5888.75,4024.29
cunif_a20_b100_L6_c1_2_train,1811.42,1816.47,1812.49,1807.08,1821.06,1810.63,2903.68,1826.52
cunif_a20_b100_L6_c1_2_test,1766.52,1769.82,1767.58,1767.42,1789.51,1763.79,2855.67,1777.98
cunif_a10_b800_L6_c1_2_train,17470.21,17492.16,17490.7,17470.15,17693.75,17469.24,26718.47,17506.29
cunif_a10_b800_L6_c1_2_test,17489.67,17409.43,17409.23,17464.68,17604.34,17415.92,26463.16,17524.69
cunif_a10_b50_L6_c1_2_train,893.85,902.37,897.47,895.81,908.31,898.57,1451.27,900.58
cunif_a10_b50_L6_c1_2_test,887.26,896.9,890.91,886.2,896.65,884.05,1432.7,893.29
cunif_a10_b400_L6_c1_2_train,8856.58,8802.27,8802.33,8855.75,8947.79,8802.26,12353.45,8883.26
cunif_a10_b400_L6_c1_2_test,8673.42,8680.08,8680.04,8668.74,8766.86,8674.84,12363.16,8717.9
cunif_a10_b200_L6_c1_2_train,4210.31,4208.89,4210.7,4209.75,4249.72,4200.95,5992.24,4225.63
cunif_a10_b200_L6_c1_2_test,4247.29,4273.86,4265.77,4239.07,4266.66,4235.23,5991.78,4256.58
cunif_a10_b100_L6_c1_2_train,2026.1,2026.57,2038.99,2021.61,2021.26,2030.02,2958.4,2069.16
cunif_a10_b100_L6_c1_2_test,2003.87,2003.76,2011.88,2005.55,2016.7,2007.04,2954.92,2010.23
cunif_a0_b800_L6_c1_2_train,17783.17,17841.01,17842,17698.17,17841.01,17817.2,27014.4,17903.34
cunif_a0_b800_L6_c1_2_test,17758.52,17738.07,17738.89,17730.26,17877.74,17710.71,26763.23,17834.64
cunif_a0_b50_L6_c1_2_train,1116.15,1118.43,1120.56,1116.91,1126.88,1130.76,1543.2,1122.38
cunif_a0_b50_L6_c1_2_test,1099.74,1099.51,1107.01,1097.47,1106.33,1106.58,1524.58,1109.11
cunif_a0_b400_L6_c1_2_train,8819.14,8834.86,8834,8805.82,8915.37,8836.81,12671.72,8843.5
cunif_a0_b400_L6_c1_2_test,8869.08,8872.24,8868.64,8897.33,8899,8853.6,12405.2,8930.72
cunif_a0_b200_L6_c1_2_train,4397.93,4389.95,4390.91,4386.03,4411.13,4388.23,6054.58,4431.56
cunif_a0_b200_L6_c1_2_test,4417.9,4414.38,4420.15,4412.01,4461.35,4422.07,6080.6,4441.5
cunif_a0_b100_L6_c1_2_train,2204.24,2212.1,2210.47,2202.17,2226.15,2223.22,3026.78,2216.85
cunif_a0_b100_L6_c1_2_test,2225.49,2223.92,2223.18,2236.98,2242.2,2235.39,3057.03,2239.5
binom_n800_p0p95_L6_c1_2_train,1558.63,573.64,580.93,573.64,2069.93,499.77,16388.74,477.76
binom_n800_p0p95_L6_c1_2_test,1552.88,566.61,574.06,566.61,2050.87,498.71,16385.19,467.33
binom_n800_p0p9_L6_c1_2_train,721.64,965.09,926.79,647.71,1987.73,680.22,15702.36,647.15
binom_n800_p0p9_L6_c1_2_test,740.12,950.87,912.68,645.85,1989.9,671.81,15706,644.35
binom_n800_p0p7_L6_c1_2_train,983.38,1381.55,1351.43,1006.94,1913.88,973.41,12652.3,987.45
binom_n800_p0p7_L6_c1_2_test,978.97,1380.06,1349.97,995.76,1891.02,972.07,12660.68,981.79
binom_n800_p0p5_L6_c1_2_train,1053.44,1271.39,1255.04,1053.39,1663.7,1045.92,9355.22,1053.39
binom_n800_p0p5_L6_c1_2_test,1083.81,1266.11,1250.4,1078.17,1647.53,1063.78,9369.09,1078.17
binom_n800_p0p3_L6_c1_2_train,953.55,957.19,956.13,953.93,1206.92,948.84,5911.36,957.19
binom_n800_p0p3_L6_c1_2_test,978.98,975.69,978.96,980.48,1233.43,963.65,5925.61,975.69
