"LLM","problem","n_train","n_horizon","order_option","external_opt","iter_opt","param_loc","n_pop","mode","data_summary","algo_performance","demand_mean","dist","n_node","option","repeat_9","repeat_10","repeat_1","repeat_2","repeat_3","repeat_4","repeat_5","repeat_6","repeat_7","repeat_8"
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"train","plain","processed",80,"cost2_4_lt2_0","","","","","2778.00","14720.40","14589.20","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"test","plain","processed",80,"cost2_4_lt2_0","","","","","2766.96","14720.20","14559.20","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"train","plain","processed",80,"cost2_4_lt2_0","","","","","2543.76","2523.96","12669.20","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",3,"test","plain","processed",80,"cost2_4_lt2_0","","","","","2537.84","2512.99","12639.20","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"train","plain","processed",80,"cost2_4_lt2_0","","","","","2543.76","2523.96","9789.20","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",4,"test","plain","processed",80,"cost2_4_lt2_0","","","","","2537.84","2512.99","9759.20","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"train","plain","processed",80,"cost2_4_lt2_0","","","","","2543.76","2523.96","5009.60","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",5,"test","plain","processed",80,"cost2_4_lt2_0","","","","","2537.84","2512.99","4977.09","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"train","plain","no",80,"cost2_4_lt3_0","","","","","7629.84","7629.84","7629.84","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",1,"test","plain","no",80,"cost2_4_lt3_0","","","","","7561.51","7561.51","7561.51","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"train","plain","no",80,"cost2_4_lt3_0","","","","","7629.84","7629.84","7629.84","","","","",""
"deepseek-chat","inventory_ex",50,50,"order_before_sell","no","-","-",2,"test","plain","no",80,"cost2_4_lt3_0","","","","","7561.51","7561.51","7561.51","","","","",""
