policy_id,dataset_id,split,avg_cost,ci_lower,ci_upper,tune_status,tune_train_avg,tuned_params,error
poisson_L6_c1_2,beta_a116p938_b350p812_M500_L4_p10,train,1696.06,1633.6132499999999,1756.43,ok,1696.06,"{""demand_estimate"": 178.22844713224532, ""max_order"": 135.65243739086165, ""safety_stock"": 104.70049553084006}",
poisson_L6_c1_2,beta_a116p938_b350p812_M500_L4_p10,test,1678.561,1661.5375,1697.835,ok,1696.06,"{""demand_estimate"": 178.22844713224532, ""max_order"": 135.65243739086165, ""safety_stock"": 104.70049553084006}",
exponential_L6_c1_2,beta_a11p8031_b66p8844_M500_L4_p10,train,3452.4,3326.40975,3588.89525,ok_expanded,3452.4,"{""base_stock"": 147.02162678017459, ""safety_stock"": 2.429063196361383e-06, ""pipeline_weight"": 0.9010608600399266, ""smoothing_factor"": 0.09708178029617437, ""lost_sales_weight"": 0.005211932812392218, ""demand_buffer"": 1367.7670427748938, ""min_order_threshold"": 0.05991716023305186}",
exponential_L6_c1_2,beta_a11p8031_b66p8844_M500_L4_p10,test,3366.822,3319.565475,3413.4873749999997,ok_expanded,3452.4,"{""base_stock"": 147.02162678017459, ""safety_stock"": 2.429063196361383e-06, ""pipeline_weight"": 0.9010608600399266, ""smoothing_factor"": 0.09708178029617437, ""lost_sales_weight"": 0.005211932812392218, ""demand_buffer"": 1367.7670427748938, ""min_order_threshold"": 0.05991716023305186}",
normal_std30_L6_c1_2,beta_a11p8031_b66p8844_M500_L4_p10,train,3358.12,3241.6282499999998,3486.57075,ok_expanded,3358.12,"{""base_stock"": 700.9890094370027, ""safety_stock"": 0.00015629453296421903, ""pipeline_weight"": 0.46898842196331053, ""demand_forecast"": 1.4597424182271832e-06, ""smoothing_factor"": 0.11737802220036953, ""forecast_weight"": 0.7148296466797492, ""adjustment_factor"": 0.37811844030948594, ""pipeline_discount"": 0.9976875152722823, ""min_order"": 6.171559650788229}",
normal_std30_L6_c1_2,beta_a11p8031_b66p8844_M500_L4_p10,test,3291.795,3249.1531,3331.484825,ok_expanded,3358.12,"{""base_stock"": 700.9890094370027, ""safety_stock"": 0.00015629453296421903, ""pipeline_weight"": 0.46898842196331053, ""demand_forecast"": 1.4597424182271832e-06, ""smoothing_factor"": 0.11737802220036953, ""forecast_weight"": 0.7148296466797492, ""adjustment_factor"": 0.37811844030948594, ""pipeline_discount"": 0.9976875152722823, ""min_order"": 6.171559650788229}",
poisson_L6_c1_2,beta_a11p8031_b66p8844_M500_L4_p10,train,3200.05,3086.3755,3319.6504999999997,ok_expanded,3200.05,"{""safety_stock"": 18.469560968411205, ""demand_estimate"": 131.73397233704696, ""max_order"": 77.67177136477356}",
poisson_L6_c1_2,beta_a11p8031_b66p8844_M500_L4_p10,test,3207.202,3167.4591250000003,3241.325425,ok_expanded,3200.05,"{""safety_stock"": 18.469560968411205, ""demand_estimate"": 131.73397233704696, ""max_order"": 77.67177136477356}",
exponential_L6_c1_2,beta_a12p7708_b38p3125_M500_L4_p10,train,4960.89,4746.01825,5176.26425,ok_expanded,4960.89,"{""base_stock"": 9.570611357229998, ""safety_stock"": 1036.8958435813909, ""pipeline_weight"": 0.4405407754931828, ""smoothing_factor"": 0.12563772711991988, ""lost_sales_weight"": 0.022261603972146455, ""demand_buffer"": 1294.951301292343, ""min_order_threshold"": 1.7723733091342704}",
exponential_L6_c1_2,beta_a12p7708_b38p3125_M500_L4_p10,test,4975.909,4922.34465,5034.931799999999,ok_expanded,4960.89,"{""base_stock"": 9.570611357229998, ""safety_stock"": 1036.8958435813909, ""pipeline_weight"": 0.4405407754931828, ""smoothing_factor"": 0.12563772711991988, ""lost_sales_weight"": 0.022261603972146455, ""demand_buffer"": 1294.951301292343, ""min_order_threshold"": 1.7723733091342704}",
normal_std30_L6_c1_2,beta_a12p7708_b38p3125_M500_L4_p10,train,4879.39,4682.1465,5090.322999999999,ok_expanded,4879.39,"{""base_stock"": 1217.6348452381749, ""safety_stock"": 0.0002357703374986188, ""pipeline_weight"": 0.5512022967244996, ""demand_forecast"": 4.60156537670847, ""smoothing_factor"": 0.11724339965769184, ""forecast_weight"": 0.5077785376642789, ""adjustment_factor"": 0.35110659137699013, ""pipeline_discount"": 0.9073089547649126, ""min_order"": 0.0013625580791588997}",
normal_std30_L6_c1_2,beta_a12p7708_b38p3125_M500_L4_p10,test,4888.563,4836.328675,4945.2664,ok_expanded,4879.39,"{""base_stock"": 1217.6348452381749, ""safety_stock"": 0.0002357703374986188, ""pipeline_weight"": 0.5512022967244996, ""demand_forecast"": 4.60156537670847, ""smoothing_factor"": 0.11724339965769184, ""forecast_weight"": 0.5077785376642789, ""adjustment_factor"": 0.35110659137699013, ""pipeline_discount"": 0.9073089547649126, ""min_order"": 0.0013625580791588997}",
poisson_L6_c1_2,beta_a12p7708_b38p3125_M500_L4_p10,train,4760.86,4603.94475,4958.14175,ok_expanded,4760.86,"{""safety_stock"": 684.7178000759774, ""demand_estimate"": 9.758357138709821e-06, ""max_order"": 131.5546440397105}",
poisson_L6_c1_2,beta_a12p7708_b38p3125_M500_L4_p10,test,4729.497,4678.6679,4777.646299999999,ok_expanded,4760.86,"{""safety_stock"": 684.7178000759774, ""demand_estimate"": 9.758357138709821e-06, ""max_order"": 131.5546440397105}",
exponential_L6_c1_2,beta_a157p2_b366p8_M500_L4_p10,train,2079.88,2005.21875,2161.07575,ok_expanded,2079.88,"{""base_stock"": 528.1945863237936, ""safety_stock"": 6.180402152130515, ""pipeline_weight"": 0.9343811469198822, ""smoothing_factor"": 8.514997771099774e-05, ""lost_sales_weight"": 2.4791415484408135, ""demand_buffer"": 1320.2923396893275, ""min_order_threshold"": 19.884950430084178}",
exponential_L6_c1_2,beta_a157p2_b366p8_M500_L4_p10,test,2132.628,2100.4953,2163.1155249999997,ok_expanded,2079.88,"{""base_stock"": 528.1945863237936, ""safety_stock"": 6.180402152130515, ""pipeline_weight"": 0.9343811469198822, ""smoothing_factor"": 8.514997771099774e-05, ""lost_sales_weight"": 2.4791415484408135, ""demand_buffer"": 1320.2923396893275, ""min_order_threshold"": 19.884950430084178}",
normal_std30_L6_c1_2,beta_a157p2_b366p8_M500_L4_p10,train,1739.78,1664.94775,1813.59525,ok_expanded,1739.78,"{""base_stock"": 360.48544135660416, ""safety_stock"": 1.3675939886147161, ""pipeline_weight"": 0.5206544884534107, ""demand_forecast"": 398.53073561413316, ""smoothing_factor"": 0.043517361848376075, ""forecast_weight"": 0.3673656090444649, ""adjustment_factor"": 0.28998151599385413, ""pipeline_discount"": 1.0, ""min_order"": 11.67445595738162}",
normal_std30_L6_c1_2,beta_a157p2_b366p8_M500_L4_p10,test,1762.892,1736.152975,1785.785975,ok_expanded,1739.78,"{""base_stock"": 360.48544135660416, ""safety_stock"": 1.3675939886147161, ""pipeline_weight"": 0.5206544884534107, ""demand_forecast"": 398.53073561413316, ""smoothing_factor"": 0.043517361848376075, ""forecast_weight"": 0.3673656090444649, ""adjustment_factor"": 0.28998151599385413, ""pipeline_discount"": 1.0, ""min_order"": 11.67445595738162}",
poisson_L6_c1_2,beta_a157p2_b366p8_M500_L4_p10,train,1605.89,1552.07125,1660.566,ok,1605.89,"{""safety_stock"": 58.637201021293485, ""demand_estimate"": 234.72325418122014, ""max_order"": 155.34354272954712}",
poisson_L6_c1_2,beta_a157p2_b366p8_M500_L4_p10,test,1625.821,1607.6136,1645.1683,ok,1605.89,"{""safety_stock"": 58.637201021293485, ""demand_estimate"": 234.72325418122014, ""max_order"": 155.34354272954712}",
exponential_L6_c1_2,beta_a17p2_b40p1333_M500_L4_p10,train,5110.96,4900.439249999999,5326.59425,ok_expanded,5110.96,"{""base_stock"": 367.74647193648275, ""safety_stock"": 855.7838019254826, ""pipeline_weight"": 0.7689842764474032, ""smoothing_factor"": 0.09888758060541161, ""lost_sales_weight"": 0.0013631762032847341, ""demand_buffer"": 2280.0195449079006, ""min_order_threshold"": 0.007400940458735339}",
exponential_L6_c1_2,beta_a17p2_b40p1333_M500_L4_p10,test,5111.527,5040.764875,5186.986175,ok_expanded,5110.96,"{""base_stock"": 367.74647193648275, ""safety_stock"": 855.7838019254826, ""pipeline_weight"": 0.7689842764474032, ""smoothing_factor"": 0.09888758060541161, ""lost_sales_weight"": 0.0013631762032847341, ""demand_buffer"": 2280.0195449079006, ""min_order_threshold"": 0.007400940458735339}",
normal_std30_L6_c1_2,beta_a17p2_b40p1333_M500_L4_p10,train,4937.06,4736.6717499999995,5136.41125,ok_expanded,4937.06,"{""base_stock"": 634.8051531726001, ""safety_stock"": 548.5332473019818, ""pipeline_weight"": 0.250661166678913, ""demand_forecast"": 81.54431261188877, ""smoothing_factor"": 0.10873015895935782, ""forecast_weight"": 0.4248445850469707, ""adjustment_factor"": 0.2771706072294059, ""pipeline_discount"": 1.0, ""min_order"": 22.432158908833685}",
normal_std30_L6_c1_2,beta_a17p2_b40p1333_M500_L4_p10,test,4935.492,4864.989625,5003.966225,ok_expanded,4937.06,"{""base_stock"": 634.8051531726001, ""safety_stock"": 548.5332473019818, ""pipeline_weight"": 0.250661166678913, ""demand_forecast"": 81.54431261188877, ""smoothing_factor"": 0.10873015895935782, ""forecast_weight"": 0.4248445850469707, ""adjustment_factor"": 0.2771706072294059, ""pipeline_discount"": 1.0, ""min_order"": 22.432158908833685}",
poisson_L6_c1_2,beta_a17p2_b40p1333_M500_L4_p10,train,4753.42,4604.49275,4943.522749999999,ok,4753.42,"{""safety_stock"": 181.741655936611, ""demand_estimate"": 208.11489013279802, ""max_order"": 161.0176934463089}",
poisson_L6_c1_2,beta_a17p2_b40p1333_M500_L4_p10,test,4762.123,4703.997,4820.348275,ok,4753.42,"{""safety_stock"": 181.741655936611, ""demand_estimate"": 208.11489013279802, ""max_order"": 161.0176934463089}",
