dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
logn_mlog4p81567_s0p15899_L6_p2_test,1460.225,1460.658,1457.495
logn_mlog4p82512_s0p0798724_L6_p2_train,751.42,746.81,744.19
logn_mlog4p82512_s0p0798724_L6_p2_test,743.886,747.753,746.899
logn_mlog4p82677_s0p606403_L6_p2_train,5969.43,5964.14,5970.44
logn_mlog4p82677_s0p606403_L6_p2_test,6185.01,6187.216,6194.21
logn_mlog4p95796_s0p324593_L6_p2_train,3398.21,3401.1,3406.74
logn_mlog4p95796_s0p324593_L6_p2_test,3463.975,3478.316,3481.25
logn_mlog4p99102_s0p198042_L6_p2_train,2135.74,2122.18,2120.21
logn_mlog4p99102_s0p198042_L6_p2_test,2161.1,2167.422,2150.839
logn_mlog5p00182_s0p132746_L6_p2_train,1457.6,1455.56,1468.62
logn_mlog5p00182_s0p132746_L6_p2_test,1474.437,1471.731,1468.484
logn_mlog5p00842_s0p0665928_L6_p2_train,742.81,742.81,747.83
logn_mlog5p00842_s0p0665928_L6_p2_test,752.672,752.672,756.285
negbin_r0p251256_p0p005_L6_p2_train,4267.52,4265.48,4271.38
negbin_r0p251256_p0p005_L6_p2_test,4625.847,4626.216,4625.301
negbin_r0p566751_p0p0075_L6_p2_train,5601.4,5593.99,5611.0
negbin_r0p566751_p0p0075_L6_p2_test,5602.426,5601.11,5600.786
negbin_r124875_p0p999_L6_p2_train,830.6,824.3,824.09
negbin_r124875_p0p999_L6_p2_test,848.078,845.139,848.998
negbin_r12p5_p0p111111_L6_p2_train,2163.99,2157.32,2155.58
negbin_r12p5_p0p111111_L6_p2_test,2164.538,2168.722,2172.244
negbin_r149850_p0p999_L6_p2_train,975.06,922.33,975.06
negbin_r149850_p0p999_L6_p2_test,973.017,928.439,973.017
negbin_r17p3077_p0p1875_L6_p2_train,1444.18,1444.22,1455.54
negbin_r17p3077_p0p1875_L6_p2_test,1459.48,1461.032,1460.635
negbin_r1p0101_p0p01_L6_p2_train,6172.33,6141.38,6141.34
negbin_r1p0101_p0p01_L6_p2_test,6198.818,6204.683,6206.745
negbin_r1p02041_p0p02_L6_p2_train,3163.42,3165.45,3171.39
negbin_r1p02041_p0p02_L6_p2_test,3118.392,3119.22,3121.112
negbin_r1p58228_p0p0125_L6_p2_train,6498.27,6501.36,6513.89
negbin_r1p58228_p0p0125_L6_p2_test,6481.527,6477.459,6483.864
negbin_r20p1613_p0p138889_L6_p2_train,2165.52,2166.26,2175.74
negbin_r20p1613_p0p138889_L6_p2_test,2175.188,2179.847,2189.133
negbin_r225_p0p75_L6_p2_train,765.76,761.12,763.31
negbin_r225_p0p75_L6_p2_test,751.995,747.812,751.64
