dataset,source_file,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
beta_a1_b0p5_M50_L4_p6_train.json,beta_a1_b0p5_M50_L6_c1_2_train.json,4,1,6.0,100,50,33.5724,181,2284.34,30,2206.56
beta_a1_b0p5_M50_L4_p6_test.json,beta_a1_b0p5_M50_L6_c1_2_test.json,4,1,6.0,1000,50,33.3417,181,2330.109,30,2227.641
beta_a1_b10_M100_L4_p6_train.json,beta_a1_b10_M100_L6_c1_2_train.json,4,1,6.0,100,50,8.9642,45,1141.36,7,1105.06
beta_a1_b10_M100_L4_p6_test.json,beta_a1_b10_M100_L6_c1_2_test.json,4,1,6.0,1000,50,9.07166,45,1172.308,7,1104.151
beta_a1_b10_M200_L4_p6_train.json,beta_a1_b10_M200_L6_c1_2_train.json,4,1,6.0,100,50,18.299,94,2312.39,14,2183.8
beta_a1_b10_M200_L4_p6_test.json,beta_a1_b10_M200_L6_c1_2_test.json,4,1,6.0,1000,50,18.18628,94,2332.074,14,2234.464
beta_a1_b10_M20_L4_p6_train.json,beta_a1_b10_M20_L6_c1_2_train.json,4,1,6.0,100,50,1.7866,9,232.78,1,268.92
beta_a1_b10_M20_L4_p6_test.json,beta_a1_b10_M20_L6_c1_2_test.json,4,1,6.0,1000,50,1.80464,9,239.162,1,273.72
beta_a1_b10_M500_L4_p6_train.json,beta_a1_b10_M500_L6_c1_2_train.json,4,1,6.0,100,50,45.53,229,5803.34,35,5482.71
beta_a1_b10_M500_L4_p6_test.json,beta_a1_b10_M500_L6_c1_2_test.json,4,1,6.0,1000,50,45.44424,229,5798.371,35,5525.24
beta_a1_b10_M50_L4_p6_train.json,beta_a1_b10_M50_L6_c1_2_train.json,4,1,6.0,100,50,4.5342,24,582.54,3,592.98
beta_a1_b10_M50_L4_p6_test.json,beta_a1_b10_M50_L6_c1_2_test.json,4,1,6.0,1000,50,4.5312,24,582.624,3,592.346
beta_a1_b1_M100_L4_p6_train.json,beta_a1_b1_M100_L6_c1_2_train.json,4,1,6.0,100,50,49.6906,267,4357.87,43,4057.21
beta_a1_b1_M100_L4_p6_test.json,beta_a1_b1_M100_L6_c1_2_test.json,4,1,6.0,1000,50,50.10542,267,4427.626,43,4230.827
beta_a1_b1_M200_L4_p6_train.json,beta_a1_b1_M200_L6_c1_2_train.json,4,1,6.0,100,50,99.712,533,8535.68,86,8233.63
beta_a1_b1_M200_L4_p6_test.json,beta_a1_b1_M200_L6_c1_2_test.json,4,1,6.0,1000,50,99.77646,533,8899.964,86,8454.429
beta_a1_b1_M20_L4_p6_train.json,beta_a1_b1_M20_L6_c1_2_train.json,4,1,6.0,100,50,9.8064,53,889.03,8,858.1
beta_a1_b1_M20_L4_p6_test.json,beta_a1_b1_M20_L6_c1_2_test.json,4,1,6.0,1000,50,10.02222,53,892.885,8,893.731
beta_a1_b1_M500_L4_p6_train.json,beta_a1_b1_M500_L6_c1_2_train.json,4,1,6.0,100,50,250.3078,1347,21939.74,222,19935.96
beta_a1_b1_M500_L4_p6_test.json,beta_a1_b1_M500_L6_c1_2_test.json,4,1,6.0,1000,50,250.6825,1347,22288.175,222,21365.873
beta_a1_b1_M50_L4_p6_train.json,beta_a1_b1_M50_L6_c1_2_train.json,4,1,6.0,100,50,24.9084,135,2261.83,21,2162.02
beta_a1_b1_M50_L4_p6_test.json,beta_a1_b1_M50_L6_c1_2_test.json,4,1,6.0,1000,50,25.05904,135,2211.454,21,2138.317
beta_a1_b2_M100_L4_p6_train.json,beta_a1_b2_M100_L6_c1_2_train.json,4,1,6.0,100,50,33.2186,175,3489.32,28,3295.81
beta_a1_b2_M100_L4_p6_test.json,beta_a1_b2_M100_L6_c1_2_test.json,4,1,6.0,1000,50,33.1917,175,3506.331,28,3300.046
beta_a1_b2_M200_L4_p6_train.json,beta_a1_b2_M200_L6_c1_2_train.json,4,1,6.0,100,50,65.8808,356,7083.84,54,6784.3
beta_a1_b2_M200_L4_p6_test.json,beta_a1_b2_M200_L6_c1_2_test.json,4,1,6.0,1000,50,66.49072,356,6962.761,54,6695.264
beta_a1_b2_M20_L4_p6_train.json,beta_a1_b2_M20_L6_c1_2_train.json,4,1,6.0,100,50,6.7194,36,705.34,6,684.61
beta_a1_b2_M20_L4_p6_test.json,beta_a1_b2_M20_L6_c1_2_test.json,4,1,6.0,1000,50,6.68766,36,702.33,6,691.042
beta_a1_b2_M500_L4_p6_train.json,beta_a1_b2_M500_L6_c1_2_train.json,4,1,6.0,100,50,165.5976,892,17430.2,137,16431.85
beta_a1_b2_M500_L4_p6_test.json,beta_a1_b2_M500_L6_c1_2_test.json,4,1,6.0,1000,50,166.23712,892,17712.925,137,16632.638
beta_a1_b2_M50_L4_p6_train.json,beta_a1_b2_M50_L6_c1_2_train.json,4,1,6.0,100,50,16.7106,90,1764.81,14,1642.86
beta_a1_b2_M50_L4_p6_test.json,beta_a1_b2_M50_L6_c1_2_test.json,4,1,6.0,1000,50,16.68798,90,1761.772,14,1651.493
beta_a1_b5_M100_L4_p6_train.json,beta_a1_b5_M100_L6_c1_2_train.json,4,1,6.0,100,50,16.8292,86,2111.61,13,1958.35
beta_a1_b5_M100_L4_p6_test.json,beta_a1_b5_M100_L6_c1_2_test.json,4,1,6.0,1000,50,16.68682,86,2031.506,13,1923.703
beta_a1_b5_M200_L4_p6_train.json,beta_a1_b5_M200_L6_c1_2_train.json,4,1,6.0,100,50,33.4094,176,3986.12,27,3684.29
beta_a1_b5_M200_L4_p6_test.json,beta_a1_b5_M200_L6_c1_2_test.json,4,1,6.0,1000,50,33.31976,176,4056.189,27,3840.396
beta_a1_b5_M20_L4_p6_train.json,beta_a1_b5_M20_L6_c1_2_train.json,4,1,6.0,100,50,3.2892,17,399.43,3,450.81
beta_a1_b5_M20_L4_p6_test.json,beta_a1_b5_M20_L6_c1_2_test.json,4,1,6.0,1000,50,3.3158,17,408.405,3,434.432
beta_a1_b5_M500_L4_p6_train.json,beta_a1_b5_M500_L6_c1_2_train.json,4,1,6.0,100,50,83.6384,435,9824.96,67,9427.32
beta_a1_b5_M500_L4_p6_test.json,beta_a1_b5_M500_L6_c1_2_test.json,4,1,6.0,1000,50,83.33408,435,10032.382,67,9578.623
beta_a1_b5_M50_L4_p6_train.json,beta_a1_b5_M50_L6_c1_2_train.json,4,1,6.0,100,50,8.298,44,993.9,7,947.19
beta_a1_b5_M50_L4_p6_test.json,beta_a1_b5_M50_L6_c1_2_test.json,4,1,6.0,1000,50,8.27092,44,1003.525,7,965.786
beta_a2_b0p5_M100_L4_p6_train.json,beta_a2_b0p5_M100_L6_c1_2_train.json,4,1,6.0,100,50,79.9318,423,3551.41,75,3142.91
beta_a2_b0p5_M100_L4_p6_test.json,beta_a2_b0p5_M100_L6_c1_2_test.json,4,1,6.0,1000,50,79.96896,423,3554.545,75,3206.853
beta_a2_b0p5_M200_L4_p6_train.json,beta_a2_b0p5_M200_L6_c1_2_train.json,4,1,6.0,100,50,160.9206,856,6978.63,150,6711.14
beta_a2_b0p5_M200_L4_p6_test.json,beta_a2_b0p5_M200_L6_c1_2_test.json,4,1,6.0,1000,50,160.0508,856,7070.749,150,6419.355
beta_a2_b0p5_M20_L4_p6_train.json,beta_a2_b0p5_M20_L6_c1_2_train.json,4,1,6.0,100,50,16.0944,85,719.46,15,656.21
beta_a2_b0p5_M20_L4_p6_test.json,beta_a2_b0p5_M20_L6_c1_2_test.json,4,1,6.0,1000,50,16.04658,85,711.435,15,645.768
beta_a2_b0p5_M500_L4_p6_train.json,beta_a2_b0p5_M500_L6_c1_2_train.json,4,1,6.0,100,50,399.9354,2120,18210.49,375,16965.95
beta_a2_b0p5_M500_L4_p6_test.json,beta_a2_b0p5_M500_L6_c1_2_test.json,4,1,6.0,1000,50,399.47118,2120,17788.099,375,16022.592
beta_a2_b0p5_M50_L4_p6_train.json,beta_a2_b0p5_M50_L6_c1_2_train.json,4,1,6.0,100,50,39.924,212,1819.53,37,1673.35
beta_a2_b0p5_M50_L4_p6_test.json,beta_a2_b0p5_M50_L6_c1_2_test.json,4,1,6.0,1000,50,39.98252,212,1793.684,37,1664.042
beta_a2_b10_M100_L4_p6_train.json,beta_a2_b10_M100_L6_c1_2_train.json,4,1,6.0,100,50,16.5962,87,1515.19,14,1360.39
beta_a2_b10_M100_L4_p6_test.json,beta_a2_b10_M100_L6_c1_2_test.json,4,1,6.0,1000,50,16.71694,87,1541.895,14,1445.243
beta_a2_b10_M200_L4_p6_train.json,beta_a2_b10_M200_L6_c1_2_train.json,4,1,6.0,100,50,33.6072,174,3147.9,28,2964.43
beta_a2_b10_M200_L4_p6_test.json,beta_a2_b10_M200_L6_c1_2_test.json,4,1,6.0,1000,50,33.43704,174,3065.434,28,2854.995
beta_a2_b10_M20_L4_p6_train.json,beta_a2_b10_M20_L6_c1_2_train.json,4,1,6.0,100,50,3.3952,17,321.02,3,313.95
beta_a2_b10_M20_L4_p6_test.json,beta_a2_b10_M20_L6_c1_2_test.json,4,1,6.0,1000,50,3.33804,17,307.637,3,295.909
beta_a2_b10_M500_L4_p6_train.json,beta_a2_b10_M500_L6_c1_2_train.json,4,1,6.0,100,50,82.7998,430,7749.19,70,7208.51
beta_a2_b10_M500_L4_p6_test.json,beta_a2_b10_M500_L6_c1_2_test.json,4,1,6.0,1000,50,83.34374,430,7642.564,70,7126.499
beta_a2_b10_M50_L4_p6_train.json,beta_a2_b10_M50_L6_c1_2_train.json,4,1,6.0,100,50,8.2708,43,777.93,7,721.97
beta_a2_b10_M50_L4_p6_test.json,beta_a2_b10_M50_L6_c1_2_test.json,4,1,6.0,1000,50,8.3523,43,767.008,7,716.292
beta_a2_b1_M100_L4_p6_train.json,beta_a2_b1_M100_L6_c1_2_train.json,4,1,6.0,100,50,66.6972,355,3730.98,61,3610.18
beta_a2_b1_M100_L4_p6_test.json,beta_a2_b1_M100_L6_c1_2_test.json,4,1,6.0,1000,50,66.51922,355,3832.519,61,3475.216
beta_a2_b1_M200_L4_p6_train.json,beta_a2_b1_M200_L6_c1_2_train.json,4,1,6.0,100,50,133.1292,706,7627.48,123,6869.9
beta_a2_b1_M200_L4_p6_test.json,beta_a2_b1_M200_L6_c1_2_test.json,4,1,6.0,1000,50,133.23844,706,7650.583,123,6993.338
