dataset,source_file,L,h,p,N,num_periods,mean_d,opt_basestock_S,avg_cost_basestock,opt_constant_q,avg_cost_constant
beta_a1_b5_M20_L4_p4_train.json,beta_a1_b5_M20_L6_c1_2_train.json,4,1,4.0,100,50,3.2892,15,327.13,2,323.02
beta_a1_b5_M20_L4_p4_test.json,beta_a1_b5_M20_L6_c1_2_test.json,4,1,4.0,1000,50,3.3158,15,333.372,2,325.922
beta_a1_b5_M500_L4_p4_train.json,beta_a1_b5_M500_L6_c1_2_train.json,4,1,4.0,100,50,83.6384,383,8073.58,62,7371.54
beta_a1_b5_M500_L4_p4_test.json,beta_a1_b5_M500_L6_c1_2_test.json,4,1,4.0,1000,50,83.33408,383,8184.829,62,7462.437
beta_a1_b5_M50_L4_p4_train.json,beta_a1_b5_M50_L6_c1_2_train.json,4,1,4.0,100,50,8.298,38,822.63,6,745.91
beta_a1_b5_M50_L4_p4_test.json,beta_a1_b5_M50_L6_c1_2_test.json,4,1,4.0,1000,50,8.27092,38,819.525,6,741.187
beta_a2_b0p5_M100_L4_p4_train.json,beta_a2_b0p5_M100_L6_c1_2_train.json,4,1,4.0,100,50,79.9318,408,3187.38,74,2532.98
beta_a2_b0p5_M100_L4_p4_test.json,beta_a2_b0p5_M100_L6_c1_2_test.json,4,1,4.0,1000,50,79.96896,408,3190.09,74,2595.922
beta_a2_b0p5_M200_L4_p4_train.json,beta_a2_b0p5_M200_L6_c1_2_train.json,4,1,4.0,100,50,160.9206,822,6313.76,146,5378.66
beta_a2_b0p5_M200_L4_p4_test.json,beta_a2_b0p5_M200_L6_c1_2_test.json,4,1,4.0,1000,50,160.0508,822,6341.596,146,5213.032
beta_a2_b0p5_M20_L4_p4_train.json,beta_a2_b0p5_M20_L6_c1_2_train.json,4,1,4.0,100,50,16.0944,82,644.9,15,532.85
beta_a2_b0p5_M20_L4_p4_test.json,beta_a2_b0p5_M20_L6_c1_2_test.json,4,1,4.0,1000,50,16.04658,82,637.3,15,527.36
beta_a2_b0p5_M500_L4_p4_train.json,beta_a2_b0p5_M500_L6_c1_2_train.json,4,1,4.0,100,50,399.9354,2030,16260.9,367,13755.56
beta_a2_b0p5_M500_L4_p4_test.json,beta_a2_b0p5_M500_L6_c1_2_test.json,4,1,4.0,1000,50,399.47118,2030,15958.482,367,13013.058
beta_a2_b0p5_M50_L4_p4_train.json,beta_a2_b0p5_M50_L6_c1_2_train.json,4,1,4.0,100,50,39.924,202,1628.23,37,1345.59
beta_a2_b0p5_M50_L4_p4_test.json,beta_a2_b0p5_M50_L6_c1_2_test.json,4,1,4.0,1000,50,39.98252,202,1608.282,37,1333.042
beta_a2_b10_M100_L4_p4_train.json,beta_a2_b10_M100_L6_c1_2_train.json,4,1,4.0,100,50,16.5962,78,1261.08,14,1076.35
beta_a2_b10_M100_L4_p4_test.json,beta_a2_b10_M100_L6_c1_2_test.json,4,1,4.0,1000,50,16.71694,78,1278.956,14,1147.677
beta_a2_b10_M200_L4_p4_train.json,beta_a2_b10_M200_L6_c1_2_train.json,4,1,4.0,100,50,33.6072,157,2605.04,27,2315.83
beta_a2_b10_M200_L4_p4_test.json,beta_a2_b10_M200_L6_c1_2_test.json,4,1,4.0,1000,50,33.43704,157,2543.968,27,2237.427
beta_a2_b10_M20_L4_p4_train.json,beta_a2_b10_M20_L6_c1_2_train.json,4,1,4.0,100,50,3.3952,16,263.7,3,265.81
beta_a2_b10_M20_L4_p4_test.json,beta_a2_b10_M20_L6_c1_2_test.json,4,1,4.0,1000,50,3.33804,16,255.189,3,253.077
beta_a2_b10_M500_L4_p4_train.json,beta_a2_b10_M500_L6_c1_2_train.json,4,1,4.0,100,50,82.7998,391,6428.45,67,5635.11
beta_a2_b10_M500_L4_p4_test.json,beta_a2_b10_M500_L6_c1_2_test.json,4,1,4.0,1000,50,83.34374,391,6334.793,67,5586.891
beta_a2_b10_M50_L4_p4_train.json,beta_a2_b10_M50_L6_c1_2_train.json,4,1,4.0,100,50,8.2708,38,641.86,7,580.07
beta_a2_b10_M50_L4_p4_test.json,beta_a2_b10_M50_L6_c1_2_test.json,4,1,4.0,1000,50,8.3523,38,638.749,7,568.594
beta_a2_b1_M100_L4_p4_train.json,beta_a2_b1_M100_L6_c1_2_train.json,4,1,4.0,100,50,66.6972,338,3282.53,59,2881.3
beta_a2_b1_M100_L4_p4_test.json,beta_a2_b1_M100_L6_c1_2_test.json,4,1,4.0,1000,50,66.51922,338,3354.346,59,2797.426
beta_a2_b1_M200_L4_p4_train.json,beta_a2_b1_M200_L6_c1_2_train.json,4,1,4.0,100,50,133.1292,663,6649.68,119,5520.81
beta_a2_b1_M200_L4_p4_test.json,beta_a2_b1_M200_L6_c1_2_test.json,4,1,4.0,1000,50,133.23844,663,6686.767,119,5613.222
