dataset,exponential_L6_c1_2,normal_std30_L6_c1_2,poisson_L6_c1_2
beta_a2_b5_M20_L6_p4_train,330.16,329.55,334.46
beta_a2_b5_M20_L6_p4_test,353.6,352.99,352.049
beta_a2_b5_M500_L6_p4_train,8658.34,8666.3,8686.27
beta_a2_b5_M500_L6_p4_test,8614.843,8611.872,8661.664
beta_a2_b5_M50_L6_p4_train,842.84,841.86,844.98
beta_a2_b5_M50_L6_p4_test,876.108,873.793,880.366
beta_a5_b0p5_M100_L6_p4_train,1367.55,1329.28,1331.5
beta_a5_b0p5_M100_L6_p4_test,1355.929,1330.511,1371.948
beta_a5_b0p5_M200_L6_p4_train,2705.71,2723.64,2744.08
beta_a5_b0p5_M200_L6_p4_test,2657.314,2639.693,2694.137
beta_a5_b0p5_M20_L6_p4_train,266.07,266.14,277.39
beta_a5_b0p5_M20_L6_p4_test,269.033,267.853,281.626
beta_a5_b0p5_M500_L6_p4_train,6943.23,6812.37,6720.67
beta_a5_b0p5_M500_L6_p4_test,6825.147,6687.376,6652.709
beta_a5_b0p5_M50_L6_p4_train,681.2,654.55,634.81
beta_a5_b0p5_M50_L6_p4_test,711.374,677.968,655.731
beta_a5_b10_M100_L6_p4_train,1338.27,1323.09,1302.76
beta_a5_b10_M100_L6_p4_test,1305.765,1297.114,1287.476
beta_a5_b10_M200_L6_p4_train,2478.29,2467.57,2485.7
beta_a5_b10_M200_L6_p4_test,2589.551,2588.672,2570.237
beta_a5_b10_M20_L6_p4_train,254.21,254.26,258.27
beta_a5_b10_M20_L6_p4_test,258.473,259.743,259.599
beta_a5_b10_M500_L6_p4_train,6524.92,6535.17,6486.34
beta_a5_b10_M500_L6_p4_test,6546.995,6549.501,6512.89
beta_a5_b10_M50_L6_p4_train,629.03,624.85,633.09
beta_a5_b10_M50_L6_p4_test,670.241,665.358,660.675
beta_a5_b1_M100_L6_p4_train,1601.51,1588.73,1552.8
beta_a5_b1_M100_L6_p4_test,1654.982,1639.591,1591.275
beta_a5_b1_M200_L6_p4_train,3362.67,3345.45,3311.11
beta_a5_b1_M200_L6_p4_test,3322.218,3291.528,3318.657
beta_a5_b1_M20_L6_p4_train,320.16,318.96,326.73
beta_a5_b1_M20_L6_p4_test,337.012,332.707,331.896
beta_a5_b1_M500_L6_p4_train,8261.32,8253.29,8328.35
beta_a5_b1_M500_L6_p4_test,8392.441,8357.095,8287.966
beta_a5_b1_M50_L6_p4_train,824.31,817.63,799.24
beta_a5_b1_M50_L6_p4_test,824.81,819.973,804.407
beta_a5_b2_M100_L6_p4_train,1833.41,1822.94,1801.92
beta_a5_b2_M100_L6_p4_test,1870.673,1855.23,1848.428
beta_a5_b2_M200_L6_p4_train,3827.5,3780.64,3696.1
beta_a5_b2_M200_L6_p4_test,3759.761,3677.56,3611.064
beta_a5_b2_M20_L6_p4_train,377.09,373.23,374.26
beta_a5_b2_M20_L6_p4_test,382.191,373.454,376.489
beta_a5_b2_M500_L6_p4_train,9245.37,9207.75,9435.21
beta_a5_b2_M500_L6_p4_test,9308.572,9221.224,9302.086
beta_a5_b2_M50_L6_p4_train,915.0,917.91,909.32
beta_a5_b2_M50_L6_p4_test,919.338,921.423,913.116
beta_a5_b5_M100_L6_p4_train,1686.41,1680.1,1677.9
beta_a5_b5_M100_L6_p4_test,1700.519,1694.139,1697.88
beta_a5_b5_M200_L6_p4_train,3459.35,3431.52,3435.21
beta_a5_b5_M200_L6_p4_test,3396.877,3375.44,3374.585
beta_a5_b5_M20_L6_p4_train,340.16,339.44,336.94
beta_a5_b5_M20_L6_p4_test,347.331,342.246,343.919
beta_a5_b5_M500_L6_p4_train,8355.26,8394.07,8234.76
beta_a5_b5_M500_L6_p4_test,8490.647,8498.084,8379.365
beta_a5_b5_M50_L6_p4_train,852.46,846.45,843.6
beta_a5_b5_M50_L6_p4_test,841.012,840.469,838.846
binom_n100_p0p05_L6_p4_train,245.86,245.26,245.91
binom_n100_p0p05_L6_p4_test,241.339,243.968,244.737
binom_n100_p0p1_L6_p4_train,334.89,332.63,338.17
